Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Australia,Sydney,Winter,12.9,26.04,15.05,5.06,0.884,13.29,63.5,Moderate
Australia,Melbourne,Autumn,15.3,23.75,13.86,8.26,0.6,31.6,56.2,Moderate
Australia,Brisbane,Winter,8.51,15.36,24.54,8.25,0.183,13.82,11.6,Good
Australia,Sydney,Winter,7.43,17.94,24.42,4.28,0.64,17.63,29.6,Good
Australia,Brisbane,Winter,22.57,48.79,12.47,5.07,1.187,11.08,68.9,Moderate
Australia,Melbourne,Autumn,18.04,29.54,6.09,15.34,1.255,22.17,75.1,Moderate
Australia,Melbourne,Winter,30.97,,10.52,4.99,1.115,21.58,84.1,Moderate
Australia,Sydney,Autumn,31.13,55.53,15.16,2.55,1.43,29.32,86.1,Moderate
Australia,Brisbane,Winter,17.48,33.92,16.99,4.33,0.403,21.89,48.6,Good
Australia,Melbourne,Winter,21.03,40.64,0.91,10.52,0.922,21.3,76.4,Moderate
Australia,Sydney,Summer,17.11,27.5,20.64,6.38,1.409,11.47,65.2,Moderate
Australia,Sydney,Autumn,23.98,41.65,,6.36,0.798,17.73,89.3,Moderate
Australia,Brisbane,Summer,25.71,50.09,,8.66,2.003,25.24,67.3,Moderate
Australia,Brisbane,Spring,24.01,52.32,6.98,11.25,1.483,22.26,80.6,Moderate
Australia,Sydney,Summer,28.76,65.63,20.92,13.01,0.904,24.03,74.4,Moderate
Australia,Brisbane,Autumn,18.87,31.02,35.99,8.59,0.815,24.36,67.2,Moderate
Australia,Sydney,Summer,27.89,42.64,28.73,5.36,0.528,21.06,79.8,Moderate
Australia,Melbourne,Autumn,14.91,25.23,14.56,2.42,0.332,4.96,38.5,Good
Australia,Melbourne,Winter,26.85,59.55,14.62,10.98,0.926,20.59,87.6,Moderate
Australia,Sydney,Autumn,0.08,0.13,3.39,7.01,1.26,17.86,21.8,Good
Australia,Melbourne,Autumn,23.32,55.0,10.21,7.39,0.129,22.35,66.0,Moderate
Australia,Brisbane,Winter,,40.86,26.02,1.04,0.751,26.48,61.4,Moderate
Australia,Sydney,Winter,8.24,16.65,25.97,6.66,1.146,10.21,34.5,Good
Australia,Sydney,Spring,,73.3,15.72,,0.132,31.43,77.4,Moderate
Australia,Sydney,Winter,5.32,12.26,10.42,6.48,0.565,21.23,39.0,Good
Australia,Brisbane,Winter,18.36,41.75,8.12,2.38,0.396,20.66,50.9,Moderate
Australia,Melbourne,Summer,7.53,16.81,17.21,6.16,0.23,14.41,33.5,Good
Australia,Sydney,Spring,14.43,28.77,5.58,3.0,0.286,20.06,59.7,Moderate
Australia,Brisbane,Spring,27.39,49.38,17.88,8.17,0.523,22.17,63.5,Moderate
Australia,Brisbane,Spring,9.52,15.14,32.18,,0.417,12.05,50.4,Moderate
Australia,Melbourne,Autumn,4.6,11.3,7.1,2.51,0.907,27.05,31.7,Good
Australia,Melbourne,Winter,6.58,12.37,11.25,11.86,0.653,15.06,28.1,Good
Australia,Melbourne,Summer,12.53,21.57,17.24,5.21,0.719,18.56,47.8,Good
