Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Bangladesh,Dhaka,Spring,0.09,,86.6,58.84,6.716,120.92,174.5,Unhealthy
Bangladesh,Chittagong,Autumn,218.72,358.06,78.87,33.46,3.597,60.25,450.0,Hazardous
Bangladesh,Dhaka,Autumn,198.59,422.68,61.66,32.16,2.294,138.27,450.0,Hazardous
Bangladesh,Chittagong,Summer,151.42,265.26,58.68,28.82,5.225,63.57,376.6,Hazardous
Bangladesh,Dhaka,Summer,88.44,213.2,,10.34,4.821,101.5,292.6,Very Unhealthy
Bangladesh,Dhaka,Autumn,,326.7,34.16,30.99,5.614,90.67,376.2,Hazardous
Bangladesh,Rajshahi,Autumn,81.22,172.32,131.92,39.91,4.544,105.02,317.6,Hazardous
Bangladesh,Chittagong,Autumn,112.86,,36.33,22.42,6.484,99.04,328.3,Hazardous
Bangladesh,Chittagong,Summer,85.42,207.78,91.35,40.24,3.419,86.38,275.4,Very Unhealthy
Bangladesh,Chittagong,Spring,99.7,157.02,136.86,33.86,4.082,146.76,360.6,Hazardous
Bangladesh,Chittagong,Winter,164.7,370.5,130.82,42.49,4.457,112.36,450.0,Hazardous
Bangladesh,Dhaka,Summer,117.56,212.3,35.93,18.35,3.193,44.12,282.1,Very Unhealthy
Bangladesh,Chittagong,Winter,162.97,325.48,125.9,11.53,10.266,161.76,450.0,Hazardous
Bangladesh,Rajshahi,Spring,54.62,132.24,149.3,11.75,0.88,116.83,206.8,Very Unhealthy
Bangladesh,Dhaka,Winter,36.95,89.12,92.28,76.8,2.854,89.15,203.3,Very Unhealthy
Bangladesh,Rajshahi,Summer,123.13,205.0,25.13,49.63,3.232,52.85,301.1,Hazardous
Bangladesh,Chittagong,Winter,134.95,259.75,98.42,,0.945,109.08,343.3,Hazardous
Bangladesh,Dhaka,Summer,133.7,319.16,82.71,43.65,5.311,118.0,381.7,Hazardous
Bangladesh,Chittagong,Spring,113.39,195.44,,22.84,3.888,85.84,300.7,Hazardous
Bangladesh,Dhaka,Autumn,46.06,,70.47,1.63,3.395,125.91,212.7,Very Unhealthy
Bangladesh,Rajshahi,Spring,125.38,,88.95,16.76,3.45,166.65,395.2,Hazardous
Bangladesh,Chittagong,Autumn,67.1,159.83,92.84,42.44,1.725,76.7,242.1,Very Unhealthy
Bangladesh,Rajshahi,Autumn,54.05,108.23,,81.16,6.597,157.18,288.5,Very Unhealthy
