Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Brazil,Rio de Janeiro,Spring,59.4,137.02,18.77,23.02,2.6,60.13,171.4,Unhealthy
Brazil,Brasilia,Spring,29.04,58.05,33.11,10.17,1.839,83.74,114.7,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Winter,40.73,65.3,43.9,30.7,2.441,56.67,152.2,Unhealthy
Brazil,Sao Paulo,Spring,55.89,108.25,,1.03,3.035,15.16,153.5,Unhealthy
Brazil,Sao Paulo,Summer,57.71,110.11,76.86,31.2,2.596,57.88,219.3,Very Unhealthy
Brazil,Salvador,Winter,76.53,166.92,8.92,29.29,3.321,22.6,189.4,Unhealthy
Brazil,Salvador,Spring,49.76,79.48,31.22,2.09,0.016,43.87,123.2,Unhealthy for Sensitive Groups
Brazil,Salvador,Spring,74.18,118.87,73.91,15.04,2.7,103.17,237.5,Very Unhealthy
Brazil,Salvador,Summer,19.72,43.93,56.07,21.2,1.639,73.43,114.1,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Summer,55.82,95.45,27.15,27.81,3.002,50.73,179.5,Unhealthy
Brazil,Rio de Janeiro,Autumn,19.74,,30.66,8.49,4.013,51.52,109.8,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Spring,95.93,216.19,9.71,30.06,2.677,59.43,244.4,Very Unhealthy
Brazil,Brasilia,Summer,29.49,71.6,26.43,6.44,3.107,83.74,131.4,Unhealthy for Sensitive Groups
Brazil,Salvador,Winter,30.33,45.57,23.82,18.57,1.721,63.83,101.3,Unhealthy for Sensitive Groups
Brazil,Salvador,Summer,62.96,133.08,45.81,26.77,5.273,40.0,214.1,Very Unhealthy
Brazil,Sao Paulo,Winter,27.09,63.4,61.32,22.48,2.46,85.33,144.7,Unhealthy for Sensitive Groups
Brazil,Salvador,Spring,6.25,10.16,65.16,32.25,0.664,32.6,71.6,Moderate
Brazil,Brasilia,Spring,92.53,139.43,26.85,,2.324,31.71,229.2,Very Unhealthy
Brazil,Brasilia,Spring,69.81,164.55,58.72,,0.801,77.05,197.7,Unhealthy
Brazil,Rio de Janeiro,Autumn,40.05,69.66,46.24,10.94,3.384,76.82,165.4,Unhealthy
Brazil,Rio de Janeiro,Autumn,95.14,154.87,44.07,13.24,2.366,65.93,250.2,Very Unhealthy
Brazil,Sao Paulo,Summer,,36.08,50.19,18.97,0.564,68.03,105.4,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Summer,69.47,106.6,5.98,20.85,1.514,47.0,170.6,Unhealthy
Brazil,Rio de Janeiro,Autumn,57.67,120.96,64.99,14.7,1.633,52.68,185.4,Unhealthy
Brazil,Sao Paulo,Summer,51.39,104.91,37.2,17.62,1.852,103.48,175.7,Unhealthy
Brazil,Salvador,Summer,11.77,19.41,65.28,26.98,1.257,47.64,88.1,Moderate
Brazil,Rio de Janeiro,Winter,100.75,237.29,30.79,17.3,2.394,80.04,249.8,Very Unhealthy
Brazil,Sao Paulo,Spring,12.88,24.85,27.34,30.0,3.981,45.52,113.7,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Summer,37.4,59.97,,46.37,3.053,63.41,182.3,Unhealthy
Brazil,Brasilia,Autumn,57.21,109.16,72.8,7.57,3.046,59.67,186.9,Unhealthy
Brazil,Sao Paulo,Summer,5.57,8.54,35.78,27.46,1.615,68.6,89.8,Moderate
Brazil,Sao Paulo,Autumn,70.06,162.11,83.96,22.78,0.926,58.65,216.2,Very Unhealthy
Brazil,Brasilia,Summer,23.8,51.59,14.84,14.36,1.775,61.1,86.1,Moderate
Brazil,Salvador,Summer,55.33,97.72,28.14,50.17,3.483,112.97,211.3,Very Unhealthy
Brazil,Salvador,Spring,99.33,178.48,79.55,12.1,1.281,62.99,247.8,Very Unhealthy
Brazil,Sao Paulo,Summer,101.35,162.35,33.24,,2.014,75.93,244.7,Very Unhealthy
Brazil,Salvador,Summer,88.75,192.07,51.3,18.86,1.55,67.92,242.1,Very Unhealthy
Brazil,Rio de Janeiro,Summer,78.71,174.94,8.85,,2.472,66.37,190.0,Unhealthy
Brazil,Brasilia,Spring,53.07,86.18,39.86,6.56,2.311,68.85,178.5,Unhealthy
Brazil,Salvador,Summer,81.12,175.79,59.98,35.36,3.237,31.3,229.5,Very Unhealthy
Brazil,Salvador,Spring,75.77,170.98,77.78,19.5,3.139,55.58,243.0,Very Unhealthy
Brazil,Salvador,Summer,40.17,100.16,40.95,11.84,3.596,116.72,178.2,Unhealthy
Brazil,Rio de Janeiro,Spring,72.44,,56.48,19.76,1.136,33.81,180.1,Unhealthy
Brazil,Sao Paulo,Winter,60.51,127.73,68.09,27.95,4.314,19.89,193.9,Unhealthy
Brazil,Sao Paulo,Autumn,32.71,79.38,29.49,12.74,0.441,10.65,88.6,Moderate
Brazil,Brasilia,Autumn,48.24,95.69,14.78,35.59,1.749,36.38,143.6,Unhealthy for Sensitive Groups
Brazil,Sao Paulo,Summer,68.99,142.52,42.22,21.61,3.036,46.66,190.1,Unhealthy
Brazil,Rio de Janeiro,Summer,111.16,222.67,63.95,13.73,1.563,52.75,258.5,Very Unhealthy
Brazil,Brasilia,Summer,108.03,200.31,72.52,11.71,1.562,57.95,276.4,Very Unhealthy
Brazil,Salvador,Spring,79.32,136.08,7.45,7.08,0.015,49.43,161.1,Unhealthy
Brazil,Salvador,Spring,50.99,,10.27,8.93,1.599,83.69,165.7,Unhealthy
Brazil,Sao Paulo,Autumn,6.97,13.36,26.8,1.82,1.223,31.88,50.8,Moderate
Brazil,Sao Paulo,Summer,47.15,110.79,92.92,20.43,1.977,37.46,190.2,Unhealthy
Brazil,Brasilia,Spring,6.49,15.25,37.52,13.35,2.28,66.38,65.8,Moderate
Brazil,Salvador,Spring,46.62,78.03,54.87,16.84,1.981,52.58,156.5,Unhealthy
Brazil,Sao Paulo,Summer,62.77,126.97,21.12,22.2,4.002,65.21,198.0,Unhealthy
Brazil,Sao Paulo,Winter,50.73,91.87,,28.49,3.267,33.68,175.1,Unhealthy
Brazil,Salvador,Autumn,46.57,97.18,51.55,24.37,2.392,33.73,144.7,Unhealthy for Sensitive Groups
Brazil,Salvador,Summer,41.24,101.22,11.89,8.98,3.535,102.91,155.2,Unhealthy
Brazil,Sao Paulo,Autumn,71.47,158.22,53.54,31.35,4.51,68.66,239.3,Very Unhealthy
Brazil,Sao Paulo,Summer,,107.24,50.22,28.14,0.31,56.99,163.7,Unhealthy
Brazil,Salvador,Summer,55.76,138.23,9.69,32.96,1.918,72.29,171.5,Unhealthy
Brazil,Salvador,Winter,77.73,188.53,59.29,13.6,3.589,20.59,215.2,Very Unhealthy
Brazil,Salvador,Autumn,40.87,79.54,36.21,20.7,1.012,56.41,120.5,Unhealthy for Sensitive Groups
Brazil,Salvador,Spring,27.63,57.76,39.83,24.36,2.091,60.0,126.3,Unhealthy for Sensitive Groups
Brazil,Brasilia,Summer,82.21,155.21,14.55,0.2,3.575,91.78,260.2,Very Unhealthy
Brazil,Salvador,Spring,121.71,296.08,66.76,27.57,1.902,62.23,303.9,Hazardous
Brazil,Sao Paulo,Winter,95.83,170.5,29.91,31.12,2.177,77.15,262.2,Very Unhealthy
Brazil,Rio de Janeiro,Autumn,34.36,73.75,56.65,14.3,0.527,62.07,118.1,Unhealthy for Sensitive Groups
Brazil,Salvador,Winter,53.9,93.1,43.3,46.56,4.401,70.24,181.6,Unhealthy
Brazil,Salvador,Winter,88.03,206.97,59.47,3.23,2.151,62.12,236.1,Very Unhealthy
Brazil,Salvador,Spring,53.67,98.72,82.43,24.78,0.284,65.45,169.2,Unhealthy
Brazil,Sao Paulo,Winter,46.45,102.43,45.5,0.62,1.211,49.41,129.1,Unhealthy for Sensitive Groups
Brazil,Brasilia,Autumn,54.74,135.35,59.83,18.02,1.139,68.38,162.0,Unhealthy
Brazil,Rio de Janeiro,Autumn,52.82,109.03,65.9,20.78,2.319,49.11,172.9,Unhealthy
Brazil,Salvador,Winter,25.16,44.16,52.35,30.41,1.84,75.02,137.9,Unhealthy for Sensitive Groups
Brazil,Salvador,Autumn,50.65,124.72,52.65,17.17,2.528,57.27,166.5,Unhealthy
Brazil,Rio de Janeiro,Spring,58.17,130.03,43.48,22.11,2.142,6.73,176.0,Unhealthy
Brazil,Salvador,Winter,41.55,77.71,34.35,26.29,2.827,66.68,157.2,Unhealthy
Brazil,Rio de Janeiro,Spring,89.09,149.73,9.02,27.72,1.543,49.68,199.3,Unhealthy
Brazil,Salvador,Spring,31.19,72.13,60.22,32.84,2.634,108.99,162.9,Unhealthy
Brazil,Sao Paulo,Spring,19.01,44.89,46.21,12.04,3.242,96.54,118.3,Unhealthy for Sensitive Groups
Brazil,Brasilia,Winter,7.59,11.79,97.42,21.63,2.982,132.8,142.0,Unhealthy for Sensitive Groups
Brazil,Salvador,Winter,10.94,17.52,92.05,7.53,0.323,88.48,103.0,Unhealthy for Sensitive Groups
Brazil,Sao Paulo,Autumn,7.17,13.97,41.15,9.92,3.484,41.31,85.8,Moderate
Brazil,Salvador,Summer,66.21,129.11,53.82,0.95,3.24,78.55,200.3,Very Unhealthy
Brazil,Brasilia,Spring,21.6,53.4,32.83,24.78,2.049,49.04,93.4,Moderate
Brazil,Sao Paulo,Spring,11.01,19.93,23.98,14.41,2.968,93.01,96.8,Moderate
Brazil,Brasilia,Autumn,83.28,133.67,32.62,14.62,0.497,79.46,219.0,Very Unhealthy
Brazil,Salvador,Autumn,77.2,175.46,33.18,10.54,0.058,43.38,165.1,Unhealthy
Brazil,Rio de Janeiro,Spring,,101.74,28.82,22.36,0.914,80.52,187.2,Unhealthy
Brazil,Rio de Janeiro,Spring,47.21,114.14,54.88,14.37,1.971,105.41,159.3,Unhealthy
Brazil,Brasilia,Winter,50.16,85.14,42.38,10.37,3.08,60.67,168.1,Unhealthy
Brazil,Sao Paulo,Winter,9.29,19.76,16.02,18.85,1.74,19.59,77.5,Moderate
Brazil,Sao Paulo,Winter,36.88,68.1,71.58,14.56,3.21,14.12,129.7,Unhealthy for Sensitive Groups
Brazil,Sao Paulo,Summer,,140.51,4.93,10.77,2.679,42.85,192.9,Unhealthy
Brazil,Sao Paulo,Winter,24.96,,49.15,3.62,2.405,53.36,132.3,Unhealthy for Sensitive Groups
Brazil,Sao Paulo,Spring,3.81,9.13,45.0,29.69,2.76,119.03,121.6,Unhealthy for Sensitive Groups
Brazil,Sao Paulo,Winter,41.32,63.21,39.46,15.64,2.146,30.53,122.5,Unhealthy for Sensitive Groups
Brazil,Rio de Janeiro,Winter,114.32,177.26,46.26,18.35,2.357,39.65,270.8,Very Unhealthy
Brazil,Sao Paulo,Spring,26.03,53.48,42.2,24.64,0.039,51.88,90.9,Moderate
Brazil,Rio de Janeiro,Spring,46.61,74.48,31.01,13.82,2.385,44.76,151.5,Unhealthy
Brazil,Salvador,Spring,57.14,,37.62,12.93,3.514,107.04,215.2,Very Unhealthy
Brazil,Salvador,Summer,40.55,76.64,49.48,3.78,2.873,103.18,173.9,Unhealthy
