Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Canada,Montreal,Winter,22.25,52.57,16.67,5.58,0.681,18.91,82.3,Moderate
Canada,Montreal,Winter,13.95,26.46,23.34,0.67,0.63,26.31,56.3,Moderate
Canada,Montreal,Summer,26.92,40.44,19.1,5.04,0.29,19.23,60.5,Moderate
Canada,Montreal,Spring,4.7,8.3,35.83,0.08,0.499,18.44,41.5,Good
Canada,Vancouver,Winter,11.36,19.53,17.16,8.68,0.451,11.89,36.3,Good
Canada,Vancouver,Winter,8.11,15.92,22.94,4.83,0.809,13.97,32.7,Good
Canada,Vancouver,Winter,9.33,18.78,19.52,4.9,0.516,12.1,49.5,Good
Canada,Vancouver,Summer,1.27,2.83,17.18,9.76,0.598,11.91,24.4,Good
Canada,Toronto,Spring,15.91,29.0,7.0,4.34,1.041,19.89,61.6,Moderate
Canada,Toronto,Winter,,22.67,,11.3,1.005,24.2,64.6,Moderate
Canada,Vancouver,Summer,19.06,46.76,2.79,9.36,1.089,29.62,73.1,Moderate
Canada,Vancouver,Autumn,21.61,33.61,13.3,2.42,0.392,5.51,54.8,Moderate
Canada,Montreal,Autumn,23.23,39.61,12.79,1.35,0.662,27.54,66.4,Moderate
Canada,Vancouver,Spring,7.3,14.37,18.28,6.78,0.486,30.96,26.2,Good
Canada,Toronto,Spring,21.05,35.19,19.93,8.09,0.409,21.74,57.2,Moderate
Canada,Toronto,Autumn,7.8,16.56,19.58,9.69,0.915,18.99,27.8,Good
Canada,Toronto,Summer,,28.65,3.92,4.99,0.844,24.88,59.7,Moderate
Canada,Montreal,Winter,19.05,41.53,15.24,11.06,0.786,5.04,72.1,Moderate
Canada,Toronto,Spring,,29.98,16.56,3.79,0.706,17.95,37.7,Good
Canada,Toronto,Winter,2.84,4.65,1.47,7.68,0.555,26.49,32.9,Good
Canada,Toronto,Spring,22.82,54.56,27.09,4.33,1.009,29.89,82.0,Moderate
Canada,Montreal,Spring,21.96,40.47,22.73,1.21,0.882,12.89,67.6,Moderate
Canada,Montreal,Summer,26.45,65.66,24.75,,0.467,10.31,73.2,Moderate
Canada,Montreal,Spring,23.88,49.64,19.2,1.61,0.954,14.12,68.3,Moderate
Canada,Montreal,Autumn,19.49,38.26,30.51,6.92,0.462,18.84,79.5,Moderate
Canada,Montreal,Spring,7.67,15.01,22.75,12.31,1.099,30.4,51.8,Moderate
Canada,Toronto,Summer,33.78,68.69,10.07,3.57,1.16,18.72,94.2,Moderate
Canada,Montreal,Autumn,3.35,5.75,24.27,2.54,0.932,16.9,31.3,Good
Canada,Toronto,Autumn,10.44,21.59,23.35,1.65,0.322,23.59,50.9,Moderate
Canada,Montreal,Autumn,8.77,18.79,11.03,2.65,0.838,12.82,35.4,Good
Canada,Toronto,Summer,11.88,28.72,13.13,0.7,1.587,17.67,46.3,Good
Canada,Montreal,Spring,32.44,79.83,22.6,0.35,0.735,23.24,80.3,Moderate
Canada,Vancouver,Autumn,9.66,17.29,9.4,9.71,0.822,27.72,40.5,Good
Canada,Montreal,Autumn,32.12,,9.97,4.4,0.161,30.27,75.4,Moderate
Canada,Vancouver,Winter,8.78,18.3,6.29,12.34,0.722,34.51,29.8,Good
Canada,Vancouver,Autumn,13.22,26.8,28.66,10.31,0.403,33.66,62.2,Moderate
Canada,Toronto,Winter,11.35,22.67,9.22,6.74,1.17,23.57,37.4,Good
Canada,Toronto,Summer,1.09,1.93,5.83,12.96,0.672,21.89,25.8,Good
Canada,Toronto,Autumn,22.2,51.54,12.91,5.06,0.329,24.06,41.6,Good
Canada,Toronto,Spring,14.03,32.8,18.01,5.68,0.926,27.6,71.4,Moderate
Canada,Montreal,Spring,11.22,19.01,25.76,6.11,0.69,31.01,47.3,Good
Canada,Vancouver,Summer,24.47,52.59,19.64,,0.251,26.49,79.9,Moderate
Canada,Toronto,Spring,29.38,51.22,11.92,8.16,0.925,27.74,88.1,Moderate
Canada,Vancouver,Autumn,14.87,22.46,20.95,7.09,1.285,24.61,57.0,Moderate
Canada,Toronto,Winter,26.98,49.31,18.36,8.87,1.708,20.17,74.1,Moderate
Canada,Montreal,Winter,22.49,44.38,21.82,11.84,0.397,15.36,80.0,Moderate
Canada,Vancouver,Winter,14.4,,7.73,2.79,0.972,18.94,38.3,Good
Canada,Toronto,Winter,27.08,56.9,12.68,6.57,0.323,26.73,71.1,Moderate
Canada,Toronto,Spring,7.6,12.21,23.91,1.25,0.691,27.12,51.8,Moderate
Canada,Montreal,Spring,16.29,33.0,15.54,5.18,1.15,23.87,66.3,Moderate
Canada,Vancouver,Winter,,29.82,17.09,,1.18,17.02,57.6,Moderate
Canada,Vancouver,Autumn,41.79,67.13,23.56,5.58,0.801,23.14,95.0,Moderate
Canada,Montreal,Spring,15.89,37.32,5.7,7.59,0.746,24.4,46.3,Good
Canada,Toronto,Spring,6.91,12.29,10.9,7.23,0.579,23.78,49.3,Good
Canada,Toronto,Summer,21.91,52.4,16.11,4.24,0.781,23.11,58.9,Moderate
Canada,Montreal,Winter,3.57,6.1,9.11,9.27,0.65,15.61,27.9,Good
Canada,Vancouver,Summer,0.77,1.64,4.03,0.65,0.048,29.45,21.3,Good
Canada,Vancouver,Summer,23.46,43.19,11.15,12.22,0.901,22.84,65.4,Moderate
Canada,Vancouver,Spring,23.12,55.54,5.82,5.9,1.244,14.36,63.4,Moderate
Canada,Montreal,Winter,27.03,64.65,6.27,10.66,0.634,30.62,62.5,Moderate
Canada,Toronto,Winter,35.8,69.14,12.32,4.48,1.036,14.63,76.1,Moderate
Canada,Vancouver,Winter,22.79,38.7,20.71,2.33,1.089,20.12,75.4,Moderate
Canada,Toronto,Summer,22.57,45.62,10.22,11.63,0.794,7.0,84.2,Moderate
Canada,Montreal,Summer,23.18,37.79,16.5,13.47,0.418,20.38,55.4,Moderate
Canada,Montreal,Spring,9.39,14.21,7.94,8.5,1.232,23.59,48.5,Good
Canada,Montreal,Spring,23.12,48.6,17.76,1.77,0.203,22.16,69.6,Moderate
