Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
China,Chengdu,Spring,116.49,280.71,69.44,1.25,2.467,157.16,333.1,Hazardous
China,Chengdu,Summer,,236.32,113.92,53.98,1.402,103.81,333.5,Hazardous
China,Shanghai,Summer,69.42,135.01,87.31,57.66,0.196,34.4,206.1,Very Unhealthy
China,Chengdu,Spring,104.68,166.62,126.78,28.39,5.645,163.63,374.5,Hazardous
China,Wuhan,Summer,122.4,249.59,62.35,32.53,7.842,142.52,400.4,Hazardous
China,Xi'an,Spring,212.57,332.5,46.29,42.93,3.081,4.4,450.0,Hazardous
China,Beijing,Spring,20.58,32.05,57.49,5.43,2.926,149.81,166.4,Unhealthy
China,Wuhan,Autumn,141.02,293.67,,43.14,8.249,96.55,435.0,Hazardous
China,Guangzhou,Summer,169.24,297.92,77.94,14.95,3.898,132.5,434.6,Hazardous
China,Xi'an,Winter,139.29,,79.43,33.99,4.465,203.25,430.5,Hazardous
China,Xi'an,Autumn,129.87,275.48,33.02,5.11,0.865,47.91,282.8,Very Unhealthy
China,Chengdu,Winter,74.66,185.46,3.76,6.27,3.383,60.92,202.1,Very Unhealthy
China,Beijing,Summer,118.96,209.25,162.91,24.54,2.782,54.66,356.5,Hazardous
China,Guangzhou,Autumn,29.36,60.9,79.96,45.46,5.937,136.91,216.8,Very Unhealthy
China,Wuhan,Summer,100.46,246.4,57.69,,3.406,181.79,308.6,Hazardous
China,Shanghai,Summer,77.96,118.38,93.83,33.31,0.859,57.74,217.9,Very Unhealthy
China,Xi'an,Autumn,0.84,1.38,134.52,45.81,5.12,127.57,175.9,Unhealthy
China,Xi'an,Autumn,2.8,6.89,102.37,0.62,4.775,130.99,144.6,Unhealthy for Sensitive Groups
China,Chengdu,Summer,160.23,243.4,23.68,10.95,2.142,169.49,386.5,Hazardous
China,Xi'an,Summer,57.51,129.18,119.2,14.26,3.784,104.45,259.5,Very Unhealthy
China,Wuhan,Spring,111.1,182.82,64.89,46.25,3.717,151.46,354.4,Hazardous
China,Beijing,Summer,134.53,218.65,18.96,54.67,4.76,30.5,354.4,Hazardous
China,Guangzhou,Spring,78.12,166.48,47.09,23.32,2.268,194.44,264.3,Very Unhealthy
China,Guangzhou,Spring,74.52,142.1,117.98,2.25,0.269,112.7,241.5,Very Unhealthy
China,Chengdu,Spring,60.0,121.22,100.63,21.78,3.909,187.69,283.7,Very Unhealthy
China,Xi'an,Summer,95.89,238.08,58.21,64.12,0.09,163.61,286.1,Very Unhealthy
China,Guangzhou,Autumn,122.3,193.69,122.79,2.15,0.37,66.8,313.8,Hazardous
China,Shanghai,Summer,48.92,112.63,162.98,40.68,2.975,131.36,255.9,Very Unhealthy
China,Guangzhou,Spring,20.61,,114.86,50.53,2.473,70.47,169.1,Unhealthy
China,Xi'an,Summer,211.45,434.35,51.77,,2.518,161.37,450.0,Hazardous
China,Chengdu,Summer,16.63,34.21,111.91,24.09,5.705,58.01,158.2,Unhealthy
China,Guangzhou,Spring,36.66,72.92,53.55,41.53,6.02,112.81,211.9,Very Unhealthy
China,Xi'an,Summer,76.51,159.77,95.95,58.97,6.75,171.24,344.9,Hazardous
China,Beijing,Spring,106.14,233.44,98.29,56.09,6.212,111.76,374.5,Hazardous
China,Wuhan,Summer,132.52,213.62,98.56,60.75,6.747,159.57,450.0,Hazardous
China,Guangzhou,Spring,99.68,173.55,165.81,35.07,8.885,91.48,406.7,Hazardous
China,Chengdu,Spring,0.25,0.48,10.76,,8.331,134.73,153.4,Unhealthy
China,Chengdu,Winter,107.02,,46.51,81.73,0.555,93.64,276.2,Very Unhealthy
China,Wuhan,Winter,158.74,292.24,38.24,5.7,0.032,35.91,331.9,Hazardous
China,Chengdu,Spring,77.53,167.81,51.73,52.62,4.236,158.3,285.4,Very Unhealthy
China,Xi'an,Autumn,72.24,158.81,145.16,0.75,4.282,87.16,289.9,Very Unhealthy
China,Wuhan,Summer,44.66,80.11,81.74,34.34,0.524,158.65,209.1,Very Unhealthy
China,Wuhan,Summer,66.66,,74.48,13.47,2.641,66.57,223.6,Very Unhealthy
China,Guangzhou,Autumn,149.3,259.41,80.58,19.65,4.863,92.19,393.7,Hazardous
China,Shanghai,Spring,104.17,202.88,129.68,36.46,2.687,187.21,368.9,Hazardous
China,Chengdu,Winter,78.74,129.17,112.1,39.58,3.873,170.79,323.3,Hazardous
China,Shanghai,Winter,96.45,187.39,71.31,,3.066,67.46,261.8,Very Unhealthy
China,Guangzhou,Spring,159.97,260.05,110.21,43.29,3.939,123.66,439.2,Hazardous
China,Beijing,Summer,97.36,188.01,86.15,4.27,1.687,90.77,283.7,Very Unhealthy
China,Shanghai,Spring,124.38,280.33,69.17,4.71,7.311,116.36,387.0,Hazardous
China,Xi'an,Summer,43.92,102.81,42.09,,2.633,61.54,138.4,Unhealthy for Sensitive Groups
China,Wuhan,Winter,,,135.0,56.65,3.556,128.16,450.0,Hazardous
China,Beijing,Summer,96.3,152.15,79.94,9.49,2.941,146.44,299.8,Very Unhealthy
China,Beijing,Spring,36.9,56.3,91.54,38.47,4.379,100.32,233.6,Very Unhealthy
China,Guangzhou,Winter,112.59,237.32,133.84,60.24,5.765,117.82,402.3,Hazardous
China,Beijing,Summer,23.89,54.51,65.03,42.15,1.702,206.75,183.1,Unhealthy
China,Guangzhou,Summer,139.53,236.56,43.85,56.54,0.783,64.5,349.7,Hazardous
China,Guangzhou,Winter,,235.07,175.4,22.26,1.329,112.76,373.5,Hazardous
China,Beijing,Winter,66.39,136.06,71.72,52.08,3.439,170.05,282.8,Very Unhealthy
China,Wuhan,Autumn,83.3,143.83,139.21,25.67,6.927,85.97,338.6,Hazardous
China,Chengdu,Summer,69.92,146.98,55.18,18.46,2.862,133.1,244.9,Very Unhealthy
China,Chengdu,Spring,179.21,302.79,,22.92,6.64,75.81,450.0,Hazardous
China,Xi'an,Autumn,96.58,,23.87,25.58,1.633,133.25,249.6,Very Unhealthy
China,Xi'an,Autumn,144.24,342.33,46.78,40.19,4.793,80.53,374.8,Hazardous
China,Chengdu,Summer,134.52,239.92,59.05,11.1,11.858,130.88,433.7,Hazardous
China,Guangzhou,Spring,38.45,72.39,36.23,15.66,2.364,47.16,133.8,Unhealthy for Sensitive Groups
China,Wuhan,Summer,35.7,,96.82,73.45,0.275,63.09,164.4,Unhealthy
China,Beijing,Winter,133.69,281.21,95.11,37.78,4.305,142.16,392.4,Hazardous
China,Wuhan,Autumn,125.19,205.1,87.42,15.52,4.603,90.72,367.0,Hazardous
China,Xi'an,Summer,101.18,170.78,,62.99,3.131,130.88,259.5,Very Unhealthy
China,Chengdu,Autumn,102.98,170.15,102.35,12.27,5.547,102.53,319.7,Hazardous
China,Xi'an,Autumn,122.16,224.33,142.8,34.87,2.755,83.32,350.6,Hazardous
China,Beijing,Summer,74.47,132.93,14.11,19.96,8.162,108.92,275.1,Very Unhealthy
China,Shanghai,Spring,146.08,321.99,107.66,39.08,3.217,104.78,396.0,Hazardous
China,Guangzhou,Spring,71.79,109.82,134.98,62.16,6.53,186.26,362.4,Hazardous
China,Beijing,Winter,140.98,318.03,100.57,47.26,1.758,74.47,351.2,Hazardous
China,Xi'an,Summer,30.85,55.7,171.45,15.53,6.209,117.26,261.2,Very Unhealthy
China,Beijing,Autumn,62.34,111.6,,59.98,5.262,134.7,240.5,Very Unhealthy
China,Guangzhou,Winter,98.58,211.08,44.65,40.16,4.282,107.33,293.4,Very Unhealthy
China,Xi'an,Summer,157.37,326.86,74.17,15.77,8.648,122.18,450.0,Hazardous
China,Guangzhou,Spring,67.89,102.03,16.9,25.81,1.239,102.15,184.6,Unhealthy
China,Wuhan,Winter,134.8,320.06,8.9,32.02,6.678,152.84,383.1,Hazardous
China,Guangzhou,Spring,46.37,69.97,42.67,69.24,0.862,125.26,179.3,Unhealthy
China,Wuhan,Spring,166.72,337.47,62.52,35.24,1.694,167.61,425.2,Hazardous
China,Chengdu,Autumn,10.33,17.68,122.18,31.96,2.03,90.61,136.1,Unhealthy for Sensitive Groups
China,Chengdu,Autumn,136.26,271.41,118.05,80.94,1.418,139.51,401.0,Hazardous
China,Wuhan,Spring,60.87,122.09,8.97,17.79,1.876,143.1,200.1,Very Unhealthy
China,Guangzhou,Autumn,107.46,242.46,78.54,,5.808,82.49,320.8,Hazardous
China,Beijing,Winter,161.34,283.19,75.39,1.15,2.84,137.39,413.7,Hazardous
China,Shanghai,Autumn,103.77,244.73,112.67,65.23,0.898,69.32,298.7,Very Unhealthy
China,Shanghai,Summer,79.97,165.5,95.54,26.78,5.53,129.31,300.1,Hazardous
China,Guangzhou,Autumn,92.91,191.54,72.76,20.11,5.526,77.34,294.1,Very Unhealthy
China,Chengdu,Spring,62.84,119.94,85.27,27.1,0.198,127.5,213.1,Very Unhealthy
China,Beijing,Spring,104.68,225.4,183.32,44.06,4.035,104.05,376.3,Hazardous
China,Xi'an,Winter,188.66,332.81,106.79,53.11,4.18,104.81,450.0,Hazardous
China,Shanghai,Summer,135.82,272.88,75.9,53.92,1.857,78.68,333.3,Hazardous
China,Wuhan,Winter,87.8,176.9,43.62,39.1,7.629,56.65,275.5,Very Unhealthy
China,Beijing,Spring,112.85,178.31,119.14,,0.301,88.49,305.4,Hazardous
China,Wuhan,Summer,19.59,40.36,80.88,49.93,4.495,163.5,195.0,Unhealthy
China,Guangzhou,Summer,35.94,69.5,49.31,42.32,4.722,185.4,227.6,Very Unhealthy
China,Wuhan,Autumn,78.0,186.26,6.01,30.01,2.394,38.78,184.7,Unhealthy
China,Beijing,Spring,96.36,209.77,53.66,65.37,3.331,152.61,306.4,Hazardous
