Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Egypt,Cairo,Summer,75.27,125.21,87.22,21.3,4.55,71.35,257.6,Very Unhealthy
Egypt,Cairo,Autumn,33.8,78.59,75.14,22.66,2.422,36.8,144.7,Unhealthy for Sensitive Groups
Egypt,Cairo,Autumn,49.86,109.68,63.37,,3.016,96.28,186.6,Unhealthy
Egypt,Alexandria,Summer,131.63,242.6,68.19,31.26,0.669,56.93,300.3,Hazardous
Egypt,Giza,Winter,36.74,81.42,51.44,29.0,2.839,26.46,137.9,Unhealthy for Sensitive Groups
Egypt,Giza,Summer,93.49,164.0,91.62,31.56,2.503,37.7,260.5,Very Unhealthy
Egypt,Giza,Autumn,106.67,252.77,28.45,8.46,2.503,52.8,256.9,Very Unhealthy
Egypt,Giza,Winter,125.87,301.21,71.41,54.9,3.632,68.13,336.8,Hazardous
Egypt,Alexandria,Winter,68.78,138.44,72.85,17.17,0.313,74.58,196.5,Unhealthy
Egypt,Cairo,Winter,119.3,184.69,49.55,24.14,3.372,122.32,312.3,Hazardous
Egypt,Giza,Autumn,111.32,190.15,,59.99,1.25,5.4,246.2,Very Unhealthy
Egypt,Cairo,Spring,22.87,45.58,24.68,13.25,2.128,110.69,121.0,Unhealthy for Sensitive Groups
Egypt,Cairo,Summer,61.07,99.65,94.27,53.12,2.563,72.32,244.1,Very Unhealthy
Egypt,Alexandria,Autumn,14.11,21.27,82.36,13.05,2.593,114.12,143.1,Unhealthy for Sensitive Groups
Egypt,Alexandria,Summer,46.84,86.38,103.19,27.46,0.986,57.4,164.0,Unhealthy
Egypt,Cairo,Autumn,122.3,234.68,12.31,10.84,3.975,91.64,295.0,Very Unhealthy
Egypt,Giza,Summer,107.7,200.41,66.22,50.83,3.394,79.9,315.8,Hazardous
Egypt,Giza,Spring,93.68,165.74,23.18,1.01,4.664,122.32,279.9,Very Unhealthy
Egypt,Giza,Spring,94.1,177.18,90.34,18.4,5.007,89.87,299.2,Very Unhealthy
Egypt,Cairo,Autumn,69.47,128.64,83.9,7.76,7.291,92.59,293.8,Very Unhealthy
Egypt,Cairo,Spring,,116.19,4.27,7.42,3.627,37.27,163.9,Unhealthy
Egypt,Alexandria,Winter,19.28,47.51,127.75,5.37,1.99,79.91,163.8,Unhealthy
Egypt,Giza,Spring,58.72,108.09,67.82,51.84,4.668,93.14,247.1,Very Unhealthy
Egypt,Cairo,Spring,95.32,,51.75,21.69,0.065,108.15,236.6,Very Unhealthy
Egypt,Alexandria,Spring,37.26,68.15,64.9,19.54,3.496,103.85,173.8,Unhealthy
Egypt,Giza,Autumn,113.08,226.76,71.07,1.97,2.766,35.87,273.0,Very Unhealthy
Egypt,Alexandria,Summer,73.64,183.77,113.35,31.77,1.994,18.31,226.4,Very Unhealthy
Egypt,Giza,Autumn,44.38,,37.96,7.49,1.702,69.66,145.9,Unhealthy for Sensitive Groups
Egypt,Giza,Summer,73.23,183.06,46.32,16.0,5.023,74.49,234.8,Very Unhealthy
Egypt,Cairo,Winter,79.18,,77.91,18.7,2.013,51.62,223.0,Very Unhealthy
Egypt,Cairo,Winter,44.44,88.88,77.02,10.62,5.203,90.41,199.8,Unhealthy
