Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Germany,Hamburg,Spring,9.91,24.61,22.71,0.07,0.223,27.96,55.9,Moderate
Germany,Frankfurt,Spring,33.9,60.96,11.99,6.28,1.275,33.84,109.3,Unhealthy for Sensitive Groups
Germany,Cologne,Spring,24.18,39.38,25.47,6.07,0.346,27.57,75.3,Moderate
Germany,Cologne,Summer,5.66,10.28,20.22,8.59,0.788,10.17,39.4,Good
Germany,Hamburg,Summer,42.19,95.0,19.0,8.63,0.796,39.37,123.7,Unhealthy for Sensitive Groups
Germany,Hamburg,Spring,31.28,76.53,20.11,8.36,1.158,16.74,110.0,Unhealthy for Sensitive Groups
Germany,Berlin,Summer,35.63,77.39,17.59,6.33,0.819,16.94,103.1,Unhealthy for Sensitive Groups
Germany,Hamburg,Summer,12.69,21.43,7.63,2.28,0.411,18.5,41.2,Good
Germany,Cologne,Autumn,1.02,2.32,22.8,9.42,0.374,24.47,32.9,Good
Germany,Munich,Spring,39.67,79.87,,15.92,0.355,12.86,94.5,Moderate
Germany,Berlin,Winter,27.44,53.57,30.08,7.79,0.5,23.36,85.6,Moderate
Germany,Munich,Summer,25.4,56.73,24.32,4.61,1.012,31.78,71.0,Moderate
Germany,Frankfurt,Summer,20.46,39.51,19.41,,1.003,18.82,75.1,Moderate
Germany,Cologne,Summer,32.25,55.67,7.05,2.23,1.098,42.29,87.2,Moderate
Germany,Hamburg,Summer,16.26,25.63,29.31,7.86,1.58,10.46,63.7,Moderate
Germany,Munich,Summer,4.99,10.08,20.6,5.99,1.161,20.78,55.9,Moderate
Germany,Munich,Winter,41.72,84.49,9.15,2.61,1.117,32.3,102.5,Unhealthy for Sensitive Groups
Germany,Berlin,Winter,1.17,2.82,0.22,11.4,1.185,19.74,22.3,Good
Germany,Munich,Winter,21.07,41.47,19.44,9.41,0.919,16.04,77.9,Moderate
Germany,Munich,Autumn,35.21,67.35,21.14,15.61,1.256,24.03,97.0,Moderate
Germany,Berlin,Summer,13.23,26.59,21.72,12.56,0.796,16.86,29.9,Good
Germany,Hamburg,Spring,29.86,70.05,17.4,8.9,0.374,22.15,70.9,Moderate
Germany,Cologne,Spring,13.36,24.04,12.24,1.1,1.418,26.87,54.0,Moderate
Germany,Berlin,Winter,31.21,77.04,22.45,11.22,1.114,14.42,80.0,Moderate
Germany,Cologne,Summer,28.07,67.46,24.3,10.82,0.985,9.62,80.6,Moderate
Germany,Munich,Spring,29.96,67.88,31.3,7.93,1.162,27.12,93.3,Moderate
Germany,Frankfurt,Autumn,21.52,48.68,29.89,6.2,1.557,27.58,85.6,Moderate
Germany,Berlin,Summer,3.89,8.67,29.21,10.29,1.304,21.64,46.3,Good
Germany,Munich,Winter,15.86,27.5,12.14,2.7,1.205,28.85,71.4,Moderate
Germany,Hamburg,Winter,34.28,81.09,25.58,6.28,1.328,30.82,105.0,Unhealthy for Sensitive Groups
Germany,Berlin,Autumn,31.08,69.22,14.9,2.06,0.831,16.1,87.9,Moderate
Germany,Frankfurt,Spring,33.15,78.89,26.38,6.1,0.709,28.43,86.7,Moderate
Germany,Cologne,Summer,14.11,28.32,26.82,6.62,1.122,42.32,66.4,Moderate
Germany,Frankfurt,Summer,10.56,23.94,19.11,0.78,1.26,35.5,61.6,Moderate
Germany,Frankfurt,Winter,4.63,9.45,,2.17,0.751,28.09,45.7,Good
Germany,Munich,Summer,0.23,0.54,19.93,10.92,0.446,16.32,26.6,Good
Germany,Hamburg,Autumn,13.5,27.13,22.99,4.16,0.514,16.57,47.8,Good
Germany,Berlin,Spring,20.53,44.59,11.25,1.79,0.94,33.89,66.5,Moderate
Germany,Frankfurt,Winter,12.36,28.83,21.59,5.75,1.231,28.22,46.4,Good
Germany,Munich,Winter,16.54,34.1,25.42,8.37,0.372,15.81,64.2,Moderate
Germany,Cologne,Autumn,35.0,79.63,,7.2,0.441,32.98,103.7,Unhealthy for Sensitive Groups
Germany,Munich,Spring,20.54,50.73,22.39,7.49,1.428,25.7,65.5,Moderate
Germany,Hamburg,Winter,12.34,21.82,12.73,1.44,0.89,24.56,49.3,Good
Germany,Hamburg,Spring,30.82,69.25,15.1,8.54,1.323,23.95,97.5,Moderate
Germany,Cologne,Summer,13.15,26.79,18.1,4.77,0.609,18.87,56.7,Moderate
Germany,Cologne,Summer,,47.49,15.27,6.93,0.863,33.86,56.9,Moderate
Germany,Munich,Summer,24.7,55.21,1.13,3.14,1.355,9.57,62.5,Moderate
Germany,Frankfurt,Winter,9.1,19.77,4.87,11.62,1.271,10.05,27.3,Good
Germany,Munich,Summer,16.11,36.25,8.49,4.49,1.185,23.06,60.9,Moderate
Germany,Cologne,Summer,4.51,7.57,7.47,2.53,0.226,9.63,18.8,Good
Germany,Munich,Summer,3.62,,18.82,11.1,1.558,25.64,45.3,Good
Germany,Frankfurt,Winter,45.13,83.89,23.95,1.82,0.988,3.33,104.1,Unhealthy for Sensitive Groups
Germany,Munich,Winter,22.99,34.89,22.5,8.77,0.982,23.44,65.5,Moderate
Germany,Frankfurt,Spring,30.01,62.26,3.75,10.4,0.99,28.63,65.6,Moderate
Germany,Frankfurt,Spring,23.74,55.96,16.1,2.72,0.751,34.23,74.6,Moderate
Germany,Hamburg,Winter,0.76,1.34,21.12,11.36,0.771,36.32,32.1,Good
Germany,Cologne,Autumn,13.24,25.15,15.25,7.78,0.678,46.46,55.8,Moderate
Germany,Frankfurt,Autumn,8.8,20.05,30.26,5.92,0.581,24.29,66.1,Moderate
Germany,Hamburg,Spring,11.89,24.21,21.2,0.91,1.655,32.03,71.8,Moderate
Germany,Berlin,Autumn,10.05,23.29,,6.21,1.047,37.46,44.4,Good
Germany,Frankfurt,Autumn,16.16,25.12,16.43,13.56,0.939,24.31,60.9,Moderate
Germany,Munich,Summer,,28.75,12.01,7.69,0.53,24.64,56.5,Moderate
Germany,Munich,Summer,34.16,62.28,1.83,8.76,0.599,37.55,92.8,Moderate
Germany,Berlin,Summer,38.54,71.8,0.96,1.39,0.36,35.0,98.8,Moderate
Germany,Cologne,Spring,2.22,4.82,12.38,2.56,1.384,24.1,41.1,Good
Germany,Munich,Spring,18.55,35.28,22.85,,1.792,12.79,76.7,Moderate
Germany,Munich,Autumn,13.33,29.53,27.63,4.19,1.13,29.51,56.3,Moderate
Germany,Frankfurt,Winter,22.29,52.21,27.98,11.25,1.838,33.5,92.9,Moderate
Germany,Cologne,Winter,30.45,68.99,29.36,16.67,0.417,24.41,80.9,Moderate
Germany,Frankfurt,Summer,19.57,34.86,,5.73,2.02,24.62,82.8,Moderate
Germany,Berlin,Autumn,5.54,,27.1,2.58,0.829,39.6,41.8,Good
Germany,Frankfurt,Spring,25.07,54.93,20.47,16.82,0.767,18.12,63.1,Moderate
Germany,Cologne,Autumn,43.6,102.45,18.84,13.64,0.364,33.13,115.0,Unhealthy for Sensitive Groups
Germany,Berlin,Spring,27.47,63.25,4.56,4.73,0.68,23.48,68.5,Moderate
Germany,Frankfurt,Summer,2.81,6.2,20.99,6.83,1.908,40.29,68.6,Moderate
Germany,Berlin,Spring,19.1,28.9,19.92,2.19,0.734,18.95,54.6,Moderate
Germany,Munich,Summer,13.59,20.66,13.26,0.64,1.078,33.3,58.2,Moderate
Germany,Hamburg,Autumn,28.81,51.14,27.45,3.24,1.477,21.35,96.4,Moderate
Germany,Frankfurt,Spring,5.06,12.49,12.09,17.21,0.42,25.7,24.3,Good
Germany,Cologne,Summer,23.91,52.32,11.67,2.09,1.115,28.27,84.0,Moderate
Germany,Berlin,Autumn,,46.17,30.0,5.4,0.409,22.05,82.8,Moderate
Germany,Cologne,Autumn,19.16,40.69,24.57,8.38,1.272,18.82,59.0,Moderate
Germany,Hamburg,Winter,13.83,22.57,11.59,12.79,0.046,21.73,30.2,Good
Germany,Hamburg,Spring,29.61,56.2,17.5,6.21,1.979,30.12,101.8,Unhealthy for Sensitive Groups
Germany,Hamburg,Summer,15.77,25.24,7.48,7.7,0.72,9.3,14.0,Good
Germany,Frankfurt,Autumn,9.42,21.46,8.2,,0.354,22.92,26.6,Good
Germany,Cologne,Autumn,8.52,13.25,15.54,,0.949,22.77,31.3,Good
Germany,Frankfurt,Spring,13.7,25.03,5.15,3.8,0.891,26.92,51.7,Moderate
Germany,Munich,Autumn,3.92,7.21,8.26,7.62,1.077,2.67,19.1,Good
Germany,Munich,Summer,24.49,60.4,30.46,11.52,0.837,34.27,87.0,Moderate
Germany,Munich,Autumn,15.63,37.0,2.4,6.44,0.191,27.68,28.5,Good
Germany,Cologne,Summer,13.28,20.99,18.79,3.86,0.978,25.11,55.4,Moderate
Germany,Hamburg,Summer,36.34,89.43,24.27,5.22,1.231,14.11,87.5,Moderate
Germany,Munich,Autumn,16.57,31.89,13.23,3.41,0.971,20.27,65.3,Moderate
Germany,Berlin,Winter,34.18,79.04,11.13,9.45,1.025,24.81,93.2,Moderate
Germany,Cologne,Summer,16.96,27.99,2.51,16.22,1.463,22.6,51.7,Moderate
Germany,Cologne,Summer,17.73,30.42,16.36,13.91,0.723,30.9,80.2,Moderate
Germany,Munich,Summer,10.23,23.96,27.6,4.31,1.216,22.75,59.7,Moderate
Germany,Munich,Winter,11.92,28.53,29.62,4.05,1.042,30.47,73.6,Moderate
Germany,Berlin,Summer,0.84,1.73,1.13,16.35,1.877,21.19,34.2,Good
Germany,Cologne,Winter,14.32,21.76,7.22,15.93,0.752,5.24,51.9,Moderate
