Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Indonesia,Jakarta,Autumn,54.16,105.29,57.76,23.23,0.35,99.62,188.6,Unhealthy
Indonesia,Bandung,Autumn,137.79,210.42,47.66,26.28,3.041,44.66,328.9,Hazardous
Indonesia,Surabaya,Summer,115.57,280.8,56.02,35.31,0.631,134.82,301.0,Hazardous
Indonesia,Jakarta,Summer,80.3,156.99,87.83,29.72,1.003,71.84,249.3,Very Unhealthy
Indonesia,Bandung,Winter,41.61,64.03,42.15,50.56,0.169,131.01,168.0,Unhealthy
Indonesia,Bandung,Winter,81.89,193.11,60.85,46.42,3.785,49.65,253.2,Very Unhealthy
Indonesia,Surabaya,Spring,34.79,82.44,57.98,20.04,4.654,84.06,179.0,Unhealthy
Indonesia,Surabaya,Spring,111.01,248.32,40.54,20.69,6.021,36.45,312.3,Hazardous
Indonesia,Bandung,Spring,114.95,233.01,40.62,2.78,1.453,85.96,273.8,Very Unhealthy
Indonesia,Surabaya,Winter,48.52,76.54,38.64,9.1,4.577,92.33,181.4,Unhealthy
Indonesia,Jakarta,Autumn,4.83,7.34,37.6,19.25,3.539,72.84,103.5,Unhealthy for Sensitive Groups
Indonesia,Jakarta,Winter,12.91,25.62,61.66,6.95,1.447,100.36,99.9,Moderate
Indonesia,Jakarta,Spring,41.39,95.96,92.03,15.19,1.068,69.12,167.5,Unhealthy
Indonesia,Surabaya,Autumn,2.23,4.35,91.62,34.61,0.044,61.5,94.2,Moderate
Indonesia,Surabaya,Summer,17.46,39.0,44.03,29.81,2.374,61.5,119.8,Unhealthy for Sensitive Groups
Indonesia,Surabaya,Autumn,78.08,133.76,55.81,19.5,2.402,50.91,226.6,Very Unhealthy
Indonesia,Surabaya,Winter,115.8,202.51,,6.47,3.866,53.85,301.5,Hazardous
Indonesia,Bandung,Autumn,70.85,170.75,39.95,,5.498,79.31,251.1,Very Unhealthy
Indonesia,Jakarta,Winter,10.45,15.68,51.39,21.56,3.993,64.69,123.1,Unhealthy for Sensitive Groups
Indonesia,Jakarta,Spring,93.77,141.11,97.44,25.74,2.435,86.18,287.0,Very Unhealthy
Indonesia,Surabaya,Winter,75.96,130.71,39.93,10.26,2.927,73.86,200.3,Very Unhealthy
Indonesia,Bandung,Summer,29.92,65.0,42.22,,1.52,33.3,95.0,Moderate
Indonesia,Surabaya,Spring,20.24,34.06,14.54,21.53,4.192,70.14,132.8,Unhealthy for Sensitive Groups
Indonesia,Bandung,Summer,125.24,255.04,,21.71,4.366,123.31,328.4,Hazardous
Indonesia,Surabaya,Autumn,45.98,69.63,99.74,24.24,2.501,63.91,198.8,Unhealthy
Indonesia,Jakarta,Spring,80.69,138.23,91.0,17.01,2.742,86.92,264.7,Very Unhealthy
Indonesia,Bandung,Autumn,74.61,172.73,45.52,13.19,4.18,126.11,252.2,Very Unhealthy
Indonesia,Jakarta,Winter,127.75,,22.81,13.08,2.197,44.41,292.5,Very Unhealthy
Indonesia,Jakarta,Summer,97.39,235.47,36.44,,2.16,109.91,264.3,Very Unhealthy
Indonesia,Jakarta,Winter,99.98,160.6,46.87,26.9,1.723,58.8,252.7,Very Unhealthy
