Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Japan,Tokyo,Winter,50.85,107.86,28.18,,1.829,14.3,135.8,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,27.46,65.9,18.02,8.71,1.029,48.86,97.7,Moderate
Japan,Kyoto,Spring,0.44,0.93,24.43,7.89,1.44,26.24,48.4,Good
Japan,Osaka,Winter,6.42,14.08,25.27,14.1,0.887,38.01,48.2,Good
Japan,Osaka,Spring,23.04,56.46,20.9,0.93,0.893,33.43,75.8,Moderate
Japan,Kyoto,Winter,26.75,52.38,31.47,8.56,0.544,14.98,62.3,Moderate
Japan,Kyoto,Winter,,46.37,24.85,2.4,0.234,1.17,68.3,Moderate
Japan,Kyoto,Spring,25.29,43.74,4.34,9.37,1.338,27.4,80.6,Moderate
Japan,Kyoto,Summer,24.39,39.1,37.79,13.9,0.794,50.28,88.3,Moderate
Japan,Osaka,Spring,15.08,22.67,7.34,15.25,1.649,30.28,67.8,Moderate
Japan,Osaka,Winter,23.99,46.96,9.34,26.37,2.507,29.78,87.3,Moderate
Japan,Osaka,Summer,23.56,58.43,29.26,7.41,0.444,42.02,84.9,Moderate
Japan,Tokyo,Spring,35.86,86.51,27.04,12.22,0.889,17.16,87.9,Moderate
Japan,Osaka,Autumn,9.11,18.35,5.58,5.98,1.845,30.35,57.7,Moderate
Japan,Tokyo,Autumn,40.77,87.98,26.76,8.16,1.271,28.57,115.1,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,13.12,30.35,20.08,9.73,0.47,41.78,66.9,Moderate
Japan,Kyoto,Spring,31.28,75.43,20.45,9.23,0.815,37.25,67.1,Moderate
Japan,Osaka,Spring,9.49,16.61,23.7,7.5,0.867,26.53,62.4,Moderate
Japan,Osaka,Autumn,45.74,97.74,11.76,2.02,0.464,21.06,118.3,Unhealthy for Sensitive Groups
Japan,Osaka,Winter,39.32,95.69,25.85,8.69,0.741,34.17,105.8,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,42.4,93.9,28.0,10.78,0.821,20.74,104.0,Unhealthy for Sensitive Groups
Japan,Osaka,Winter,29.11,62.59,9.45,4.69,1.235,41.41,88.3,Moderate
Japan,Osaka,Winter,45.51,74.99,24.16,6.96,0.591,32.46,111.7,Unhealthy for Sensitive Groups
Japan,Osaka,Summer,21.42,50.7,41.28,13.08,2.187,37.1,94.7,Moderate
Japan,Osaka,Autumn,26.86,49.93,17.94,3.19,1.168,3.42,69.4,Moderate
Japan,Tokyo,Spring,,4.63,15.91,10.56,0.215,32.18,21.6,Good
Japan,Osaka,Autumn,13.01,21.13,13.0,,1.539,14.2,62.7,Moderate
Japan,Tokyo,Autumn,13.36,22.73,10.37,5.85,1.804,35.44,71.1,Moderate
Japan,Kyoto,Autumn,18.4,39.34,11.5,2.38,0.469,23.72,33.4,Good
Japan,Osaka,Winter,35.57,53.71,,15.28,1.157,5.08,106.4,Unhealthy for Sensitive Groups
Japan,Osaka,Spring,18.62,37.23,34.91,3.12,0.785,42.31,90.3,Moderate
Japan,Tokyo,Autumn,30.32,56.41,29.52,3.37,1.043,28.89,89.2,Moderate
Japan,Osaka,Winter,21.15,33.71,28.24,15.14,1.098,27.59,71.0,Moderate
Japan,Osaka,Spring,26.59,58.0,33.21,12.2,1.388,8.54,86.0,Moderate
Japan,Tokyo,Spring,46.84,115.05,,11.69,1.587,22.0,147.8,Unhealthy for Sensitive Groups
Japan,Tokyo,Autumn,17.66,42.24,23.33,4.05,1.364,52.2,74.7,Moderate
Japan,Kyoto,Spring,,52.99,27.87,10.22,1.146,30.87,105.6,Unhealthy for Sensitive Groups
Japan,Tokyo,Autumn,19.29,29.65,12.62,0.91,0.847,19.38,57.5,Moderate
Japan,Kyoto,Autumn,21.16,,,10.45,1.159,25.72,78.4,Moderate
Japan,Tokyo,Summer,51.62,127.97,31.82,9.84,1.987,53.68,146.0,Unhealthy for Sensitive Groups
Japan,Kyoto,Autumn,53.95,117.48,20.45,1.14,0.872,27.68,130.9,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,41.84,101.2,43.12,3.05,1.073,45.49,123.2,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,43.15,90.64,25.29,8.27,0.434,27.66,99.7,Moderate
Japan,Kyoto,Winter,39.17,72.86,27.57,2.27,1.489,30.79,111.3,Unhealthy for Sensitive Groups
Japan,Osaka,Spring,39.09,87.46,26.68,9.12,0.062,33.76,112.3,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,13.15,24.45,22.78,5.56,0.966,30.89,65.3,Moderate
Japan,Osaka,Autumn,13.77,21.5,23.08,7.71,1.804,33.8,85.8,Moderate
Japan,Kyoto,Winter,25.41,53.95,16.77,14.25,1.418,25.63,77.9,Moderate
Japan,Tokyo,Summer,20.73,45.51,23.14,0.11,0.605,42.28,70.1,Moderate
Japan,Kyoto,Autumn,24.02,,13.91,13.65,1.642,34.84,89.2,Moderate
Japan,Kyoto,Spring,25.18,50.97,21.76,18.46,0.445,15.12,67.4,Moderate
Japan,Tokyo,Spring,37.4,81.45,16.65,3.88,0.222,26.09,78.8,Moderate
Japan,Tokyo,Winter,52.06,80.35,44.29,,1.117,12.36,123.3,Unhealthy for Sensitive Groups
Japan,Kyoto,Spring,1.12,1.69,16.14,12.07,0.488,23.33,40.8,Good
Japan,Tokyo,Autumn,13.02,29.93,23.6,0.87,1.099,40.53,71.0,Moderate
Japan,Kyoto,Winter,19.26,33.61,18.65,2.08,0.873,6.8,60.8,Moderate
Japan,Tokyo,Summer,38.77,58.32,,8.01,0.925,43.47,111.1,Unhealthy for Sensitive Groups
Japan,Osaka,Summer,,84.92,16.58,6.43,1.151,18.56,95.9,Moderate
Japan,Osaka,Winter,20.17,33.77,2.75,9.22,0.046,34.69,33.6,Good
Japan,Tokyo,Winter,40.16,64.52,,3.65,1.49,34.54,138.2,Unhealthy for Sensitive Groups
Japan,Osaka,Winter,16.14,34.35,29.07,1.46,1.628,24.35,80.4,Moderate
Japan,Tokyo,Winter,36.86,61.92,19.71,12.62,0.844,24.04,102.3,Unhealthy for Sensitive Groups
Japan,Osaka,Winter,13.86,31.46,26.11,7.46,1.189,20.51,38.0,Good
Japan,Kyoto,Summer,42.22,73.21,32.25,5.89,0.294,23.66,105.1,Unhealthy for Sensitive Groups
Japan,Osaka,Summer,13.42,27.04,44.43,13.82,1.598,36.17,82.0,Moderate
Japan,Kyoto,Summer,10.34,24.17,22.47,9.21,1.679,11.79,39.3,Good
Japan,Kyoto,Summer,34.36,83.39,11.68,1.09,1.24,23.64,99.1,Moderate
Japan,Kyoto,Autumn,26.04,56.15,29.12,17.16,1.553,28.8,90.5,Moderate
Japan,Osaka,Summer,28.86,,6.98,17.19,1.596,41.4,75.1,Moderate
Japan,Kyoto,Winter,15.79,30.23,18.12,15.87,0.286,37.68,47.0,Good
Japan,Tokyo,Summer,18.56,46.33,18.38,5.07,1.431,31.98,82.2,Moderate
Japan,Tokyo,Autumn,35.79,74.83,23.92,18.93,1.609,31.96,112.3,Unhealthy for Sensitive Groups
Japan,Kyoto,Summer,9.19,18.04,11.91,6.0,0.66,39.72,39.4,Good
Japan,Tokyo,Spring,0.64,0.97,21.38,9.67,1.695,62.83,44.8,Good
Japan,Osaka,Autumn,36.62,70.91,9.67,18.91,1.134,5.19,88.6,Moderate
Japan,Kyoto,Spring,32.34,61.06,17.47,12.79,1.003,23.21,91.5,Moderate
Japan,Kyoto,Summer,30.43,,10.62,13.52,0.361,32.45,93.5,Moderate
Japan,Kyoto,Summer,,75.45,10.32,4.69,0.997,38.16,78.0,Moderate
Japan,Osaka,Winter,31.53,71.43,12.3,6.96,1.77,24.26,113.5,Unhealthy for Sensitive Groups
Japan,Osaka,Autumn,12.2,20.4,21.63,10.02,0.859,22.87,53.3,Moderate
Japan,Kyoto,Winter,27.08,58.4,10.45,8.51,0.411,19.03,82.2,Moderate
Japan,Osaka,Summer,32.67,50.52,18.99,3.08,0.512,41.74,72.4,Moderate
Japan,Kyoto,Winter,16.22,34.97,23.97,9.56,1.046,28.2,52.2,Moderate
Japan,Kyoto,Summer,41.04,72.88,10.52,6.25,0.13,27.97,104.8,Unhealthy for Sensitive Groups
Japan,Kyoto,Winter,33.88,59.46,25.85,5.9,1.007,29.67,95.9,Moderate
Japan,Tokyo,Spring,14.04,33.72,27.05,13.35,0.856,7.82,30.2,Good
Japan,Osaka,Summer,28.18,69.71,27.48,11.69,0.24,43.39,76.6,Moderate
Japan,Tokyo,Summer,18.68,36.22,21.16,7.69,0.334,37.78,77.1,Moderate
Japan,Kyoto,Winter,20.66,38.08,31.44,7.19,2.311,21.38,100.9,Unhealthy for Sensitive Groups
Japan,Tokyo,Summer,12.44,20.44,1.4,5.32,0.164,18.05,16.6,Good
Japan,Osaka,Summer,,25.79,37.01,15.03,1.606,14.89,49.2,Good
Japan,Kyoto,Autumn,33.41,69.74,38.28,4.25,0.2,33.53,75.8,Moderate
Japan,Tokyo,Winter,1.77,4.24,15.55,7.88,1.176,40.16,48.9,Good
Japan,Tokyo,Winter,40.59,71.3,34.84,11.12,1.223,36.86,126.8,Unhealthy for Sensitive Groups
Japan,Tokyo,Spring,22.39,43.48,25.03,4.71,1.616,3.42,74.9,Moderate
Japan,Kyoto,Winter,22.64,52.75,26.09,11.29,0.67,32.66,94.0,Moderate
Japan,Kyoto,Autumn,34.0,56.52,18.49,5.52,0.855,37.35,96.1,Moderate
Japan,Kyoto,Autumn,13.29,25.55,16.48,10.38,0.826,32.84,55.7,Moderate
Japan,Osaka,Spring,51.86,113.23,23.26,10.85,1.59,18.52,127.9,Unhealthy for Sensitive Groups
Japan,Tokyo,Summer,35.4,55.63,11.94,13.28,0.594,20.18,90.4,Moderate
Japan,Kyoto,Spring,19.91,32.82,19.47,2.45,1.166,34.53,67.5,Moderate
Japan,Kyoto,Autumn,45.81,107.34,19.44,9.66,0.411,27.82,122.4,Unhealthy for Sensitive Groups
Japan,Tokyo,Summer,13.1,23.45,31.15,0.15,0.551,28.31,72.2,Moderate
