Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Nigeria,Kano,Winter,60.8,107.05,81.97,16.53,3.083,143.72,229.3,Very Unhealthy
Nigeria,Abuja,Autumn,96.98,162.35,43.81,28.37,5.683,125.72,311.2,Hazardous
Nigeria,Kano,Autumn,142.72,331.64,65.7,26.95,2.787,132.45,364.1,Hazardous
Nigeria,Abuja,Autumn,119.57,189.55,82.25,,3.952,63.61,335.6,Hazardous
Nigeria,Kano,Autumn,74.6,148.34,37.24,27.42,2.927,152.49,257.7,Very Unhealthy
Nigeria,Kano,Winter,,198.26,51.31,15.79,1.63,56.52,252.7,Very Unhealthy
Nigeria,Abuja,Spring,75.14,125.52,82.47,,0.784,80.8,232.3,Very Unhealthy
Nigeria,Lagos,Winter,93.66,196.96,,36.13,4.049,47.56,259.7,Very Unhealthy
Nigeria,Kano,Autumn,141.02,332.58,47.17,34.58,2.647,23.85,324.9,Hazardous
Nigeria,Lagos,Autumn,110.35,166.84,31.75,40.6,5.629,70.82,313.5,Hazardous
Nigeria,Lagos,Spring,9.93,19.32,108.47,43.13,2.276,115.52,157.4,Unhealthy
Nigeria,Lagos,Spring,16.45,33.33,114.14,35.98,4.481,86.84,164.7,Unhealthy
Nigeria,Kano,Summer,59.56,130.25,120.15,20.9,1.285,54.97,190.9,Unhealthy
Nigeria,Lagos,Summer,82.53,188.91,80.28,33.89,5.192,55.18,282.8,Very Unhealthy
Nigeria,Kano,Spring,96.74,194.91,,25.93,3.843,57.92,291.8,Very Unhealthy
Nigeria,Kano,Spring,32.24,64.81,51.62,5.42,1.278,101.28,159.9,Unhealthy
Nigeria,Abuja,Winter,135.6,330.92,72.3,50.93,2.155,49.02,334.9,Hazardous
Nigeria,Kano,Winter,89.88,215.54,15.28,15.02,3.712,56.29,229.6,Very Unhealthy
Nigeria,Lagos,Autumn,90.89,157.86,123.02,15.91,0.199,16.79,245.5,Very Unhealthy
Nigeria,Kano,Spring,111.02,189.16,13.17,47.61,5.704,128.81,312.7,Hazardous
Nigeria,Kano,Spring,94.14,198.75,47.85,27.93,4.516,86.22,283.1,Very Unhealthy
Nigeria,Abuja,Spring,43.1,94.9,93.42,24.83,2.463,66.35,183.8,Unhealthy
Nigeria,Kano,Summer,56.62,112.09,88.8,29.51,6.244,114.13,280.2,Very Unhealthy
Nigeria,Lagos,Winter,58.9,128.94,80.52,19.75,4.151,12.03,202.1,Very Unhealthy
Nigeria,Abuja,Summer,131.84,324.72,98.3,29.85,4.854,88.03,384.2,Hazardous
Nigeria,Abuja,Winter,136.37,299.57,,26.26,1.565,70.46,299.3,Very Unhealthy
Nigeria,Kano,Summer,,125.11,31.55,5.1,5.4,54.06,201.3,Very Unhealthy
Nigeria,Abuja,Winter,11.34,27.73,53.7,46.8,0.939,59.7,87.4,Moderate
Nigeria,Lagos,Summer,86.97,204.32,67.91,36.78,4.964,114.62,294.7,Very Unhealthy
Nigeria,Lagos,Autumn,84.41,127.95,31.82,48.01,3.144,123.07,272.0,Very Unhealthy
Nigeria,Kano,Spring,110.02,222.44,42.19,57.16,2.232,136.72,306.6,Hazardous
Nigeria,Lagos,Autumn,67.7,119.7,74.36,47.95,4.317,129.64,269.4,Very Unhealthy
Nigeria,Abuja,Summer,179.66,,60.49,20.62,5.653,138.04,450.0,Hazardous
Nigeria,Kano,Autumn,97.51,195.14,65.31,8.43,4.352,41.13,281.8,Very Unhealthy
Nigeria,Abuja,Summer,40.31,85.54,30.21,36.93,3.705,131.06,186.2,Unhealthy
Nigeria,Kano,Winter,29.54,55.3,129.39,33.16,6.725,123.26,248.6,Very Unhealthy
Nigeria,Lagos,Winter,21.38,37.8,88.11,25.29,6.264,85.36,185.0,Unhealthy
Nigeria,Abuja,Autumn,31.51,64.34,142.0,41.81,4.207,86.52,227.8,Very Unhealthy
Nigeria,Kano,Autumn,3.84,8.42,82.13,36.49,5.09,52.44,127.2,Unhealthy for Sensitive Groups
Nigeria,Abuja,Autumn,32.72,69.83,66.24,39.57,0.911,93.93,147.2,Unhealthy for Sensitive Groups
Nigeria,Abuja,Autumn,151.52,289.96,65.96,36.2,2.527,117.76,384.5,Hazardous
Nigeria,Lagos,Winter,74.49,136.79,30.06,,2.828,101.14,215.1,Very Unhealthy
Nigeria,Kano,Summer,41.7,78.35,107.23,6.46,2.329,128.09,222.1,Very Unhealthy
Nigeria,Abuja,Autumn,7.58,16.3,68.92,44.14,0.9,64.88,89.0,Moderate
Nigeria,Lagos,Autumn,135.52,276.47,119.01,47.96,3.025,91.83,374.1,Hazardous
Nigeria,Lagos,Winter,106.9,240.48,71.93,25.69,2.624,115.53,299.9,Very Unhealthy
Nigeria,Lagos,Autumn,,93.32,40.74,65.84,6.449,83.37,206.1,Very Unhealthy
Nigeria,Kano,Summer,140.57,267.89,85.27,72.73,1.965,77.26,359.4,Hazardous
Nigeria,Kano,Autumn,33.81,56.24,117.81,24.62,4.545,96.78,203.5,Very Unhealthy
Nigeria,Kano,Spring,95.78,147.12,107.92,,1.867,124.89,297.6,Very Unhealthy
Nigeria,Abuja,Autumn,59.31,146.53,49.36,,1.577,90.76,210.0,Very Unhealthy
Nigeria,Kano,Winter,109.14,224.71,57.72,39.37,2.993,157.29,340.6,Hazardous
Nigeria,Lagos,Autumn,95.97,152.28,65.02,43.93,2.783,111.42,279.7,Very Unhealthy
Nigeria,Abuja,Winter,86.3,135.12,28.27,0.97,3.704,101.31,242.4,Very Unhealthy
Nigeria,Lagos,Winter,159.86,303.88,96.07,0.84,3.472,36.31,378.3,Hazardous
Nigeria,Lagos,Winter,123.55,236.62,106.89,24.8,7.388,62.55,383.4,Hazardous
Nigeria,Abuja,Autumn,81.97,195.81,39.01,47.16,2.664,105.03,257.9,Very Unhealthy
Nigeria,Lagos,Winter,75.08,113.92,122.41,12.17,6.755,85.47,296.4,Very Unhealthy
Nigeria,Lagos,Autumn,39.08,86.31,89.11,45.31,2.573,135.7,213.5,Very Unhealthy
Nigeria,Abuja,Winter,15.67,25.97,32.25,24.82,2.923,72.95,100.1,Unhealthy for Sensitive Groups
Nigeria,Abuja,Spring,40.4,82.23,41.81,9.05,4.653,104.54,198.1,Unhealthy
Nigeria,Lagos,Autumn,33.6,58.26,71.61,,4.225,69.67,173.9,Unhealthy
Nigeria,Abuja,Summer,93.2,184.26,53.92,51.47,1.968,57.5,235.3,Very Unhealthy
Nigeria,Kano,Winter,,129.29,117.79,37.13,0.163,71.13,217.5,Very Unhealthy
Nigeria,Abuja,Autumn,88.61,172.41,106.36,42.06,2.346,64.85,281.3,Very Unhealthy
Nigeria,Lagos,Autumn,35.9,67.31,60.33,36.83,4.672,75.07,178.3,Unhealthy
Nigeria,Kano,Winter,57.57,135.31,77.83,18.65,5.877,78.64,222.4,Very Unhealthy
Nigeria,Lagos,Autumn,108.65,214.32,86.02,38.7,4.556,138.24,328.0,Hazardous
Nigeria,Kano,Summer,97.73,150.53,54.32,45.07,4.384,56.86,272.8,Very Unhealthy
Nigeria,Lagos,Spring,86.54,,77.04,25.78,0.459,93.69,245.1,Very Unhealthy
Nigeria,Kano,Summer,57.88,113.2,25.16,8.21,1.392,130.36,173.2,Unhealthy
Nigeria,Lagos,Spring,86.44,150.09,85.81,36.16,2.096,134.94,277.9,Very Unhealthy
Nigeria,Kano,Autumn,81.72,,33.23,,6.908,97.95,289.8,Very Unhealthy
Nigeria,Lagos,Autumn,99.6,166.0,55.79,62.95,0.245,101.61,267.3,Very Unhealthy
Nigeria,Kano,Autumn,60.16,126.73,86.18,22.84,5.474,103.94,267.1,Very Unhealthy
Nigeria,Kano,Summer,46.12,110.42,47.84,34.17,2.752,153.15,202.7,Very Unhealthy
Nigeria,Lagos,Winter,,187.19,86.17,55.72,4.836,43.02,358.4,Hazardous
Nigeria,Lagos,Spring,76.62,125.32,63.09,21.3,0.301,87.83,219.1,Very Unhealthy
Nigeria,Lagos,Spring,94.97,221.22,58.97,18.41,3.53,111.66,285.1,Very Unhealthy
Nigeria,Kano,Winter,38.56,68.36,13.51,17.32,3.848,78.85,142.0,Unhealthy for Sensitive Groups
Nigeria,Kano,Spring,26.78,64.85,8.1,34.58,1.667,102.04,114.8,Unhealthy for Sensitive Groups
Nigeria,Abuja,Spring,87.1,,95.0,15.37,2.319,84.27,262.1,Very Unhealthy
Nigeria,Lagos,Winter,65.73,118.16,96.04,54.81,7.564,120.28,300.4,Hazardous
Nigeria,Lagos,Autumn,76.45,139.25,77.91,33.6,3.864,128.09,286.5,Very Unhealthy
Nigeria,Kano,Winter,44.47,88.32,43.05,47.37,1.096,58.57,147.7,Unhealthy for Sensitive Groups
Nigeria,Lagos,Summer,58.67,94.63,38.83,0.83,1.225,85.11,182.0,Unhealthy
Nigeria,Kano,Autumn,14.89,35.37,52.59,36.97,1.641,67.45,114.5,Unhealthy for Sensitive Groups
Nigeria,Kano,Winter,53.62,127.2,85.77,45.78,1.366,118.88,216.9,Very Unhealthy
Nigeria,Abuja,Summer,84.67,135.77,35.99,7.43,4.646,85.57,268.9,Very Unhealthy
Nigeria,Lagos,Summer,140.67,271.71,56.37,36.45,6.304,85.29,397.0,Hazardous
Nigeria,Kano,Summer,105.34,250.83,42.17,29.97,1.579,90.9,296.5,Very Unhealthy
Nigeria,Abuja,Spring,91.94,188.23,49.83,38.29,2.637,129.59,279.1,Very Unhealthy
Nigeria,Abuja,Spring,19.21,,59.21,28.24,0.552,84.7,98.3,Moderate
Nigeria,Lagos,Autumn,105.76,173.73,79.21,28.89,3.868,96.71,318.2,Hazardous
Nigeria,Lagos,Spring,79.84,,85.12,23.9,7.207,70.31,282.2,Very Unhealthy
Nigeria,Abuja,Winter,63.04,109.32,22.75,18.78,5.279,53.94,195.7,Unhealthy
Nigeria,Kano,Winter,58.03,132.19,96.24,33.11,1.485,73.05,204.0,Very Unhealthy
Nigeria,Lagos,Autumn,51.7,115.51,73.74,6.22,3.168,101.71,211.5,Very Unhealthy
Nigeria,Lagos,Spring,66.23,145.91,103.65,51.99,6.456,100.18,286.5,Very Unhealthy
Nigeria,Lagos,Winter,33.33,82.78,61.02,25.89,6.418,60.03,188.3,Unhealthy
