Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Russia,Novosibirsk,Summer,47.64,96.78,52.0,23.44,1.58,15.85,122.4,Unhealthy for Sensitive Groups
Russia,Saint Petersburg,Winter,,153.33,2.39,8.45,3.585,50.36,188.4,Unhealthy
Russia,Saint Petersburg,Winter,39.95,82.06,,20.19,0.043,101.83,151.3,Unhealthy
Russia,Moscow,Summer,38.74,83.94,42.47,26.98,2.321,42.27,129.6,Unhealthy for Sensitive Groups
Russia,Novosibirsk,Winter,65.74,152.3,39.94,38.83,2.308,55.92,184.1,Unhealthy
Russia,Novosibirsk,Autumn,58.24,145.31,3.07,15.58,3.296,85.08,196.1,Unhealthy
Russia,Saint Petersburg,Autumn,16.7,39.05,48.23,18.27,2.143,41.35,96.5,Moderate
Russia,Novosibirsk,Summer,90.97,199.18,4.75,,4.048,73.66,241.2,Very Unhealthy
Russia,Saint Petersburg,Spring,90.38,150.51,50.24,3.6,3.731,25.7,227.2,Very Unhealthy
Russia,Saint Petersburg,Autumn,66.35,159.64,69.65,30.66,2.437,38.42,216.7,Very Unhealthy
Russia,Saint Petersburg,Autumn,24.73,45.4,66.07,31.64,3.043,13.56,119.0,Unhealthy for Sensitive Groups
Russia,Saint Petersburg,Summer,22.66,40.23,,13.94,2.161,56.77,89.7,Moderate
Russia,Saint Petersburg,Summer,46.22,79.39,14.5,17.98,3.279,64.38,135.2,Unhealthy for Sensitive Groups
Russia,Saint Petersburg,Autumn,28.03,64.24,37.08,0.93,3.472,26.83,125.0,Unhealthy for Sensitive Groups
Russia,Novosibirsk,Autumn,47.3,100.98,8.54,14.44,2.292,42.15,129.9,Unhealthy for Sensitive Groups
Russia,Novosibirsk,Autumn,10.98,23.41,22.96,18.84,1.537,27.1,60.3,Moderate
Russia,Moscow,Winter,47.1,105.45,75.75,3.25,2.687,58.05,174.6,Unhealthy
Russia,Novosibirsk,Autumn,80.94,196.69,20.38,17.85,3.643,53.65,218.9,Very Unhealthy
Russia,Moscow,Winter,35.38,54.07,25.27,26.38,2.576,60.92,120.2,Unhealthy for Sensitive Groups
Russia,Saint Petersburg,Summer,36.56,90.69,52.41,14.68,2.417,75.42,160.2,Unhealthy
Russia,Moscow,Summer,103.78,177.48,63.28,24.58,2.349,34.81,256.1,Very Unhealthy
Russia,Moscow,Summer,79.54,145.04,48.18,11.93,1.457,71.32,220.3,Very Unhealthy
Russia,Saint Petersburg,Summer,41.62,67.39,56.94,1.38,2.34,45.52,134.9,Unhealthy for Sensitive Groups
Russia,Moscow,Winter,105.98,159.04,61.55,12.83,0.403,34.31,256.7,Very Unhealthy
Russia,Saint Petersburg,Winter,68.41,143.98,57.8,,2.445,54.83,190.1,Unhealthy
Russia,Saint Petersburg,Summer,42.13,97.67,77.76,14.72,2.191,80.9,183.4,Unhealthy
Russia,Moscow,Winter,10.13,22.63,19.34,16.67,1.697,71.35,66.2,Moderate
Russia,Saint Petersburg,Spring,75.36,150.22,7.0,2.25,2.381,37.19,181.7,Unhealthy
Russia,Novosibirsk,Summer,,114.36,75.66,31.27,3.474,34.77,196.0,Unhealthy
Russia,Saint Petersburg,Autumn,52.53,99.25,40.26,13.32,2.621,53.92,159.1,Unhealthy
Russia,Saint Petersburg,Autumn,54.52,82.63,36.83,34.7,2.542,89.63,203.3,Very Unhealthy
Russia,Saint Petersburg,Autumn,31.33,47.06,21.6,22.64,3.043,105.13,150.9,Unhealthy
Russia,Novosibirsk,Spring,69.64,160.83,22.7,16.51,0.092,37.3,161.4,Unhealthy
Russia,Moscow,Spring,36.73,90.8,14.69,24.3,2.117,18.11,102.0,Unhealthy for Sensitive Groups
Russia,Novosibirsk,Spring,30.62,74.02,64.92,13.27,3.827,75.95,174.2,Unhealthy
Russia,Saint Petersburg,Winter,41.14,83.1,9.23,9.76,3.399,43.84,127.1,Unhealthy for Sensitive Groups
Russia,Saint Petersburg,Spring,74.97,177.54,23.59,0.06,0.643,99.98,190.5,Unhealthy
Russia,Saint Petersburg,Autumn,90.94,219.7,3.99,17.11,1.146,54.3,197.5,Unhealthy
