Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
South Africa,Durban,Winter,54.93,113.65,22.1,22.74,2.072,39.73,171.1,Unhealthy
South Africa,Cape Town,Spring,53.84,96.71,40.62,31.11,3.292,51.35,169.4,Unhealthy
South Africa,Durban,Summer,40.84,92.5,,30.56,2.436,21.51,131.9,Unhealthy for Sensitive Groups
South Africa,Cape Town,Summer,50.19,108.11,35.62,11.98,2.654,65.99,172.9,Unhealthy
South Africa,Durban,Autumn,25.17,46.5,21.07,32.34,2.982,53.75,128.0,Unhealthy for Sensitive Groups
South Africa,Cape Town,Spring,,,57.43,18.19,2.166,71.76,247.5,Very Unhealthy
South Africa,Durban,Autumn,26.93,56.24,38.49,6.91,1.389,68.18,115.0,Unhealthy for Sensitive Groups
South Africa,Johannesburg,Summer,49.93,94.92,34.38,13.14,2.749,61.15,164.3,Unhealthy
South Africa,Cape Town,Autumn,33.85,54.48,27.59,10.16,2.574,56.49,126.7,Unhealthy for Sensitive Groups
South Africa,Johannesburg,Winter,44.73,99.1,14.04,25.2,1.141,45.77,137.2,Unhealthy for Sensitive Groups
South Africa,Cape Town,Winter,43.02,97.95,52.28,8.78,1.859,32.14,134.1,Unhealthy for Sensitive Groups
South Africa,Durban,Winter,33.39,62.3,22.1,10.05,0.56,45.04,108.1,Unhealthy for Sensitive Groups
South Africa,Johannesburg,Summer,49.23,76.54,57.29,17.57,1.37,47.04,158.7,Unhealthy
South Africa,Johannesburg,Winter,28.29,67.0,19.78,29.52,0.795,39.5,88.1,Moderate
South Africa,Johannesburg,Autumn,22.78,40.1,49.09,18.32,0.631,32.28,88.6,Moderate
South Africa,Johannesburg,Winter,74.87,148.47,84.3,0.55,0.412,64.11,202.0,Very Unhealthy
South Africa,Johannesburg,Spring,91.86,183.72,53.29,25.96,1.057,26.28,216.0,Very Unhealthy
South Africa,Johannesburg,Spring,79.23,186.89,55.56,20.26,2.691,52.15,227.5,Very Unhealthy
South Africa,Durban,Spring,38.24,67.96,60.61,6.81,2.29,27.52,127.0,Unhealthy for Sensitive Groups
South Africa,Johannesburg,Autumn,34.26,66.3,57.17,20.49,1.943,44.75,130.7,Unhealthy for Sensitive Groups
South Africa,Cape Town,Summer,44.49,,33.49,,1.587,21.04,116.3,Unhealthy for Sensitive Groups
South Africa,Johannesburg,Winter,,196.97,71.25,5.77,2.909,65.05,233.0,Very Unhealthy
South Africa,Cape Town,Autumn,47.75,74.29,,17.6,2.291,58.43,151.6,Unhealthy
