Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
South Korea,Busan,Summer,24.24,53.86,64.77,25.2,0.15,80.66,110.5,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,39.82,83.04,57.4,9.12,1.183,36.42,136.3,Unhealthy for Sensitive Groups
South Korea,Seoul,Summer,83.59,153.29,21.5,,0.989,64.56,183.3,Unhealthy
South Korea,Busan,Spring,66.31,133.55,33.29,17.17,3.916,36.95,178.5,Unhealthy
South Korea,Seoul,Autumn,81.83,155.19,62.12,23.56,2.598,33.65,213.0,Very Unhealthy
South Korea,Seoul,Autumn,55.69,97.64,19.42,37.35,1.802,61.73,169.2,Unhealthy
South Korea,Busan,Spring,76.59,158.84,68.24,2.77,3.886,96.51,262.1,Very Unhealthy
South Korea,Busan,Summer,32.42,65.51,56.63,,0.633,34.65,113.0,Unhealthy for Sensitive Groups
South Korea,Seoul,Spring,60.49,96.68,78.69,10.36,3.182,77.56,217.2,Very Unhealthy
South Korea,Incheon,Spring,61.67,97.68,22.82,5.36,0.131,70.83,154.2,Unhealthy
South Korea,Seoul,Summer,12.49,23.04,29.77,19.02,2.334,70.74,100.6,Unhealthy for Sensitive Groups
South Korea,Seoul,Spring,118.14,223.32,42.01,15.61,3.376,46.41,303.0,Hazardous
South Korea,Busan,Autumn,76.99,128.79,13.41,2.33,4.285,106.29,224.7,Very Unhealthy
South Korea,Busan,Winter,36.66,80.69,,13.62,3.646,46.79,151.6,Unhealthy
South Korea,Busan,Summer,87.59,138.55,53.72,28.12,0.409,96.59,237.7,Very Unhealthy
South Korea,Busan,Summer,59.51,102.23,57.8,8.61,2.867,107.13,212.9,Very Unhealthy
South Korea,Incheon,Winter,84.14,196.19,70.65,7.7,2.651,72.03,255.1,Very Unhealthy
South Korea,Busan,Autumn,88.88,165.87,33.67,16.75,1.824,55.66,221.9,Very Unhealthy
South Korea,Seoul,Winter,16.69,39.12,30.03,4.94,3.702,87.71,136.9,Unhealthy for Sensitive Groups
South Korea,Busan,Winter,37.98,69.94,5.96,2.41,4.233,59.37,150.9,Unhealthy
South Korea,Busan,Summer,13.5,27.57,31.13,11.02,2.483,73.62,82.2,Moderate
South Korea,Incheon,Spring,81.36,138.84,33.46,4.12,3.917,108.65,245.7,Very Unhealthy
South Korea,Seoul,Autumn,43.36,98.18,5.45,30.16,3.359,49.95,131.8,Unhealthy for Sensitive Groups
South Korea,Busan,Summer,126.88,192.34,30.65,17.5,0.023,76.07,300.3,Hazardous
South Korea,Incheon,Winter,72.11,132.57,20.46,24.67,1.87,30.46,182.4,Unhealthy
South Korea,Incheon,Spring,46.54,73.63,26.68,23.8,1.339,57.25,140.9,Unhealthy for Sensitive Groups
South Korea,Incheon,Autumn,86.16,187.16,,10.07,1.189,87.9,229.2,Very Unhealthy
South Korea,Incheon,Spring,35.69,77.93,21.11,12.09,1.963,46.02,107.6,Unhealthy for Sensitive Groups
South Korea,Seoul,Autumn,110.93,213.98,47.29,19.7,2.609,52.17,270.5,Very Unhealthy
South Korea,Busan,Summer,35.71,57.5,55.1,22.99,3.598,66.56,140.2,Unhealthy for Sensitive Groups
South Korea,Incheon,Spring,20.07,48.04,44.13,31.96,3.8,56.99,135.8,Unhealthy for Sensitive Groups
South Korea,Incheon,Spring,71.71,,33.68,3.06,4.398,58.76,194.3,Unhealthy
South Korea,Busan,Autumn,98.57,239.68,67.31,6.98,2.081,79.59,273.5,Very Unhealthy
South Korea,Seoul,Spring,59.29,91.95,47.71,23.17,2.157,82.51,195.2,Unhealthy
South Korea,Incheon,Autumn,18.91,45.38,22.54,13.84,0.417,27.32,67.7,Moderate
South Korea,Incheon,Spring,38.87,62.3,42.18,24.0,3.164,58.21,161.4,Unhealthy
South Korea,Busan,Winter,35.49,,53.62,,0.519,56.46,120.8,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,24.54,47.66,14.49,4.95,1.913,15.5,81.6,Moderate
South Korea,Incheon,Winter,15.84,34.35,24.35,13.28,3.136,70.73,121.1,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,64.09,136.86,23.33,15.14,3.176,44.5,171.6,Unhealthy
South Korea,Busan,Summer,63.15,143.72,30.1,3.81,0.18,65.43,154.8,Unhealthy
South Korea,Seoul,Autumn,53.6,118.9,81.43,18.69,2.535,60.88,183.3,Unhealthy
South Korea,Busan,Spring,32.79,70.83,84.13,5.67,1.322,66.85,145.6,Unhealthy for Sensitive Groups
South Korea,Busan,Winter,17.47,41.72,44.97,3.53,2.192,63.56,106.5,Unhealthy for Sensitive Groups
South Korea,Busan,Winter,28.22,61.12,7.52,31.88,1.788,64.72,115.3,Unhealthy for Sensitive Groups
South Korea,Busan,Summer,45.26,76.87,63.84,30.26,3.32,23.75,180.4,Unhealthy
South Korea,Seoul,Summer,,159.83,33.75,6.83,2.553,84.23,240.8,Very Unhealthy
South Korea,Busan,Spring,4.24,10.52,32.79,8.56,1.479,32.78,74.8,Moderate
South Korea,Seoul,Spring,80.81,159.33,74.23,24.59,2.509,47.36,219.5,Very Unhealthy
South Korea,Seoul,Spring,7.24,15.16,,18.41,1.63,64.91,81.7,Moderate
South Korea,Seoul,Spring,3.94,7.68,121.82,,1.503,31.54,101.6,Unhealthy for Sensitive Groups
South Korea,Seoul,Spring,76.24,176.76,0.31,17.17,4.184,72.35,199.8,Unhealthy
South Korea,Busan,Spring,58.51,,33.15,5.78,1.814,83.73,173.4,Unhealthy
South Korea,Seoul,Summer,33.07,81.78,47.7,8.57,0.482,93.06,115.5,Unhealthy for Sensitive Groups
South Korea,Seoul,Winter,120.19,294.2,32.33,7.23,2.554,35.34,277.7,Very Unhealthy
South Korea,Busan,Spring,73.9,115.97,41.27,30.45,2.673,77.33,209.1,Very Unhealthy
South Korea,Seoul,Spring,50.13,98.07,40.02,11.13,1.497,117.36,167.5,Unhealthy
South Korea,Busan,Autumn,47.73,95.35,25.79,39.47,0.47,77.9,143.1,Unhealthy for Sensitive Groups
South Korea,Incheon,Summer,85.96,191.65,53.68,4.59,1.213,37.76,213.8,Very Unhealthy
South Korea,Incheon,Winter,72.8,,11.6,14.3,2.011,62.92,193.9,Unhealthy
South Korea,Incheon,Spring,34.34,66.57,19.14,25.89,2.827,64.09,123.2,Unhealthy for Sensitive Groups
South Korea,Seoul,Autumn,13.46,30.78,55.33,42.88,2.017,29.56,92.7,Moderate
South Korea,Busan,Autumn,37.92,90.58,37.45,23.89,3.505,57.15,156.9,Unhealthy
South Korea,Seoul,Spring,100.56,215.12,60.04,16.49,1.046,46.7,226.5,Very Unhealthy
South Korea,Incheon,Autumn,57.83,89.63,66.95,17.13,0.916,69.67,181.3,Unhealthy
South Korea,Busan,Autumn,50.25,104.93,17.4,23.57,0.058,46.99,130.3,Unhealthy for Sensitive Groups
South Korea,Seoul,Autumn,68.51,111.33,90.49,32.09,2.949,60.41,240.3,Very Unhealthy
South Korea,Incheon,Spring,64.58,,8.76,5.15,2.529,91.28,192.3,Unhealthy
South Korea,Incheon,Summer,76.55,159.22,83.5,14.6,3.745,104.43,267.7,Very Unhealthy
South Korea,Seoul,Summer,2.82,5.33,55.92,14.28,2.341,19.39,64.7,Moderate
South Korea,Busan,Winter,66.01,138.05,58.34,15.97,3.637,29.76,202.4,Very Unhealthy
South Korea,Busan,Winter,78.85,144.18,50.83,4.6,3.292,29.61,203.7,Very Unhealthy
South Korea,Incheon,Autumn,71.92,171.02,29.46,28.97,1.771,48.86,191.4,Unhealthy
South Korea,Busan,Spring,28.73,55.21,44.53,4.45,1.433,68.03,123.6,Unhealthy for Sensitive Groups
South Korea,Incheon,Summer,39.54,74.3,52.51,27.45,1.985,70.67,142.9,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,65.04,,64.76,12.48,4.278,68.39,211.5,Very Unhealthy
South Korea,Busan,Autumn,108.51,206.66,87.31,24.93,2.638,87.38,315.7,Hazardous
South Korea,Busan,Summer,74.15,160.26,47.7,31.94,3.312,53.55,222.8,Very Unhealthy
South Korea,Seoul,Autumn,58.76,89.19,33.19,7.92,1.651,64.63,161.0,Unhealthy
South Korea,Incheon,Winter,78.87,188.32,56.41,16.42,1.555,36.17,201.5,Very Unhealthy
South Korea,Seoul,Summer,65.04,133.72,18.76,17.16,1.431,30.72,140.2,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,91.89,168.87,34.48,13.81,3.24,50.7,245.8,Very Unhealthy
South Korea,Busan,Winter,84.99,191.42,38.83,24.11,1.846,125.91,252.2,Very Unhealthy
South Korea,Incheon,Autumn,35.85,63.83,62.46,9.55,1.696,57.94,134.9,Unhealthy for Sensitive Groups
South Korea,Busan,Winter,0.47,0.87,38.41,12.79,1.264,79.05,83.4,Moderate
South Korea,Incheon,Autumn,9.24,18.27,8.88,12.52,2.268,46.37,62.2,Moderate
South Korea,Busan,Autumn,47.02,75.58,38.49,36.05,1.464,26.56,139.7,Unhealthy for Sensitive Groups
South Korea,Seoul,Spring,6.89,14.12,0.78,31.98,4.172,72.63,113.9,Unhealthy for Sensitive Groups
South Korea,Busan,Autumn,71.43,161.76,7.22,22.49,2.553,13.96,175.5,Unhealthy
South Korea,Busan,Spring,79.79,167.56,103.61,31.17,3.442,80.72,283.8,Very Unhealthy
South Korea,Seoul,Autumn,,18.8,53.9,23.71,1.502,66.47,92.1,Moderate
South Korea,Busan,Autumn,3.87,6.45,44.0,2.21,3.733,56.43,87.6,Moderate
South Korea,Incheon,Spring,19.12,44.45,34.46,4.02,2.943,41.44,112.3,Unhealthy for Sensitive Groups
South Korea,Seoul,Spring,,80.35,62.07,22.93,0.709,20.07,131.4,Unhealthy for Sensitive Groups
South Korea,Seoul,Winter,,39.58,53.44,17.41,2.547,37.1,118.9,Unhealthy for Sensitive Groups
South Korea,Incheon,Winter,39.08,60.0,36.29,41.54,2.432,8.54,141.6,Unhealthy for Sensitive Groups
South Korea,Busan,Winter,100.7,228.79,75.47,10.52,1.675,43.49,263.2,Very Unhealthy
