Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
Turkey,Istanbul,Spring,35.66,68.88,39.21,20.96,2.492,26.28,133.3,Unhealthy for Sensitive Groups
Turkey,Istanbul,Spring,63.78,123.45,61.56,14.75,3.977,94.0,219.3,Very Unhealthy
Turkey,Istanbul,Winter,62.7,125.83,54.13,24.46,0.856,66.92,181.9,Unhealthy
Turkey,Ankara,Summer,,30.04,53.82,8.95,3.019,69.03,100.3,Unhealthy for Sensitive Groups
Turkey,Izmir,Summer,2.66,5.04,47.2,12.91,2.761,84.11,94.8,Moderate
Turkey,Istanbul,Summer,49.91,121.34,44.84,41.25,0.809,48.85,131.5,Unhealthy for Sensitive Groups
Turkey,Istanbul,Spring,,75.56,31.71,,2.793,62.59,142.2,Unhealthy for Sensitive Groups
Turkey,Ankara,Spring,63.64,157.36,18.0,17.53,2.061,55.33,164.5,Unhealthy
Turkey,Istanbul,Autumn,87.78,186.07,71.78,12.54,1.251,54.8,228.0,Very Unhealthy
Turkey,Istanbul,Summer,,29.54,73.51,29.52,1.419,67.43,115.1,Unhealthy for Sensitive Groups
Turkey,Ankara,Spring,2.3,5.47,53.04,18.22,3.788,55.68,75.5,Moderate
Turkey,Istanbul,Winter,65.2,98.95,20.17,3.77,2.348,36.09,186.8,Unhealthy
Turkey,Izmir,Winter,74.33,136.89,55.5,6.44,2.245,59.81,213.8,Very Unhealthy
Turkey,Izmir,Spring,67.96,148.54,66.18,13.43,0.844,75.05,183.1,Unhealthy
Turkey,Istanbul,Spring,40.34,95.83,72.92,20.08,2.334,32.18,138.9,Unhealthy for Sensitive Groups
Turkey,Istanbul,Winter,54.76,87.37,50.98,7.17,3.312,29.84,147.0,Unhealthy for Sensitive Groups
Turkey,Istanbul,Summer,13.48,25.61,,4.43,0.178,30.64,78.6,Moderate
Turkey,Izmir,Autumn,29.83,66.2,55.28,5.81,2.912,53.77,130.0,Unhealthy for Sensitive Groups
Turkey,Istanbul,Autumn,62.52,96.95,31.02,29.31,2.391,72.15,184.0,Unhealthy
Turkey,Ankara,Summer,54.73,101.73,55.38,14.53,2.76,69.64,190.1,Unhealthy
Turkey,Izmir,Spring,53.29,85.3,44.34,10.96,1.195,59.1,150.9,Unhealthy
Turkey,Istanbul,Summer,66.56,142.13,54.09,10.16,1.166,63.59,199.4,Unhealthy
Turkey,Istanbul,Autumn,17.48,26.94,51.05,6.13,0.604,18.12,67.6,Moderate
Turkey,Istanbul,Summer,24.18,54.21,55.7,3.78,2.327,52.59,111.1,Unhealthy for Sensitive Groups
Turkey,Izmir,Summer,17.11,26.51,28.31,8.77,0.32,61.27,83.9,Moderate
Turkey,Izmir,Winter,38.68,91.28,31.59,23.48,1.816,19.75,115.7,Unhealthy for Sensitive Groups
Turkey,Istanbul,Summer,88.7,141.62,25.79,25.71,0.47,52.31,201.8,Very Unhealthy
Turkey,Istanbul,Summer,31.65,57.61,50.56,19.54,1.552,61.36,140.9,Unhealthy for Sensitive Groups
Turkey,Ankara,Spring,111.37,232.03,14.23,19.63,2.226,81.0,259.6,Very Unhealthy
Turkey,Izmir,Spring,37.14,67.35,,27.37,1.017,61.55,145.0,Unhealthy for Sensitive Groups
Turkey,Izmir,Summer,,139.56,36.23,5.05,2.253,42.37,167.7,Unhealthy
Turkey,Istanbul,Autumn,57.02,90.81,33.55,14.51,1.601,45.67,156.6,Unhealthy
Turkey,Ankara,Summer,35.41,75.46,45.76,7.76,0.886,91.77,135.1,Unhealthy for Sensitive Groups
Turkey,Ankara,Summer,18.2,33.91,3.15,14.72,1.429,71.59,82.5,Moderate
Turkey,Izmir,Autumn,16.07,35.49,36.74,20.94,2.18,62.21,85.0,Moderate
Turkey,Istanbul,Autumn,0.68,1.57,29.62,18.54,2.919,43.31,85.2,Moderate
Turkey,Ankara,Winter,67.92,113.79,1.79,32.69,1.751,54.27,148.4,Unhealthy for Sensitive Groups
Turkey,Ankara,Summer,33.45,58.78,38.54,0.33,0.37,58.51,107.9,Unhealthy for Sensitive Groups
Turkey,Ankara,Autumn,87.32,174.94,18.89,16.08,1.593,43.17,226.0,Very Unhealthy
Turkey,Istanbul,Summer,79.54,140.47,33.9,20.11,2.888,74.44,234.8,Very Unhealthy
Turkey,Ankara,Summer,31.97,68.7,43.69,18.69,1.836,43.5,125.6,Unhealthy for Sensitive Groups
Turkey,Ankara,Spring,43.89,74.97,,0.28,4.889,42.97,170.3,Unhealthy
Turkey,Istanbul,Spring,52.35,98.8,33.99,2.44,1.14,82.1,170.9,Unhealthy
Turkey,Ankara,Autumn,,142.73,17.14,4.84,1.431,53.8,169.4,Unhealthy
