Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
UK,Birmingham,Winter,,52.0,16.48,15.22,0.629,27.18,81.9,Moderate
UK,Birmingham,Autumn,9.98,19.96,32.6,2.66,1.661,13.74,48.9,Good
UK,Manchester,Spring,16.67,,3.97,11.06,1.363,10.18,59.1,Moderate
UK,Birmingham,Autumn,35.29,73.86,,8.34,0.897,23.85,90.2,Moderate
UK,London,Summer,6.36,15.77,27.73,3.49,1.193,11.41,39.3,Good
UK,London,Spring,53.98,107.63,,19.32,1.002,21.92,130.2,Unhealthy for Sensitive Groups
UK,London,Spring,36.48,78.82,39.99,17.69,0.682,29.58,102.2,Unhealthy for Sensitive Groups
UK,London,Spring,10.88,23.76,21.22,9.2,0.62,23.68,45.9,Good
UK,London,Summer,27.61,,12.45,5.5,0.95,33.36,64.2,Moderate
UK,Birmingham,Autumn,39.22,90.87,39.92,7.78,0.673,18.72,109.3,Unhealthy for Sensitive Groups
UK,London,Summer,22.67,52.27,21.48,4.98,0.088,24.27,57.6,Moderate
UK,Manchester,Summer,,64.59,1.26,6.93,0.367,24.96,79.2,Moderate
UK,London,Summer,15.32,27.67,19.47,2.04,1.2,46.01,79.9,Moderate
UK,Birmingham,Autumn,18.75,39.79,12.62,12.06,1.328,25.78,57.7,Moderate
UK,Birmingham,Summer,19.14,,17.09,9.21,0.696,30.28,73.6,Moderate
UK,Manchester,Spring,39.09,65.58,28.21,12.72,1.141,12.13,98.7,Moderate
UK,Birmingham,Autumn,24.57,40.06,27.65,10.56,0.628,20.73,76.1,Moderate
UK,Birmingham,Winter,4.92,11.98,25.25,10.75,0.098,36.61,48.9,Good
UK,Manchester,Summer,51.18,91.59,12.52,14.58,0.055,25.95,106.6,Unhealthy for Sensitive Groups
UK,Birmingham,Winter,16.06,35.36,24.57,,0.785,47.31,50.4,Moderate
UK,Birmingham,Spring,36.63,64.79,23.63,1.49,1.182,31.59,101.8,Unhealthy for Sensitive Groups
UK,Birmingham,Autumn,10.42,22.22,10.33,12.35,0.793,4.53,37.8,Good
UK,London,Winter,20.28,33.25,13.16,3.74,1.182,27.63,77.9,Moderate
UK,Birmingham,Spring,43.33,90.33,25.48,8.96,1.588,14.2,140.1,Unhealthy for Sensitive Groups
UK,Manchester,Winter,48.68,74.55,17.75,6.26,0.603,18.91,99.3,Moderate
UK,Birmingham,Autumn,34.84,55.02,4.96,2.07,0.008,30.17,72.8,Moderate
UK,Manchester,Winter,13.76,31.13,20.96,1.34,0.916,30.08,54.8,Moderate
UK,Manchester,Spring,30.51,59.6,19.71,18.76,1.185,32.67,93.3,Moderate
UK,Manchester,Summer,48.34,83.99,0.48,6.57,0.564,12.15,120.7,Unhealthy for Sensitive Groups
UK,Manchester,Spring,36.84,74.39,30.29,9.02,0.905,32.35,120.1,Unhealthy for Sensitive Groups
