Country,City,Season,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Value,AQI_Category
USA,Phoenix,Autumn,26.64,55.14,,28.21,0.911,42.38,87.7,Moderate
USA,Seattle,Autumn,2.61,5.09,10.33,7.68,2.377,33.59,61.9,Moderate
USA,New York,Autumn,38.74,68.4,27.82,12.75,2.059,27.71,142.9,Unhealthy for Sensitive Groups
USA,New York,Autumn,43.52,76.82,34.88,15.58,1.531,51.77,153.5,Unhealthy
USA,Phoenix,Winter,31.34,60.54,36.73,12.03,0.077,39.29,120.0,Unhealthy for Sensitive Groups
USA,New York,Autumn,48.64,83.68,22.42,13.32,0.654,18.5,121.0,Unhealthy for Sensitive Groups
USA,New York,Summer,6.12,10.55,41.52,3.3,1.761,39.93,66.1,Moderate
USA,Houston,Spring,77.73,,26.2,3.44,2.122,26.62,183.8,Unhealthy
USA,Chicago,Summer,70.27,124.74,33.45,1.83,2.863,34.51,177.8,Unhealthy
USA,Chicago,Spring,64.18,105.24,52.17,2.54,0.442,28.09,158.4,Unhealthy
USA,Seattle,Winter,42.01,84.06,44.18,3.78,2.286,54.52,151.1,Unhealthy
USA,New York,Summer,40.96,84.89,32.05,10.69,1.24,32.04,129.2,Unhealthy for Sensitive Groups
USA,Phoenix,Spring,40.28,74.59,40.57,16.15,1.112,10.59,121.5,Unhealthy for Sensitive Groups
USA,New York,Winter,12.43,26.49,40.51,10.07,1.889,32.81,81.8,Moderate
USA,Houston,Winter,23.07,39.29,22.14,12.36,0.985,6.07,74.6,Moderate
USA,Seattle,Spring,52.89,130.45,33.03,20.51,0.384,33.87,149.7,Unhealthy for Sensitive Groups
USA,Los Angeles,Summer,35.01,62.45,29.91,4.14,1.544,13.51,103.0,Unhealthy for Sensitive Groups
USA,Houston,Summer,25.51,43.93,50.68,8.29,0.808,32.56,109.0,Unhealthy for Sensitive Groups
USA,Houston,Summer,15.23,25.85,31.55,16.17,1.672,13.51,58.2,Moderate
