country,timestamp,n_records,mae,r2_score
Australia,2026-07-19 20:07:16,86,10.061,0.4845
Bangladesh,2026-07-19 20:07:16,93,26.363,0.8691
Brazil,2026-07-19 20:07:16,110,12.289,0.8897
Canada,2026-07-19 20:07:16,102,10.516,0.4204
China,2026-07-19 20:07:17,102,23.421,0.8857
Egypt,2026-07-19 20:07:17,81,13.955,0.8681
France,2026-07-19 20:07:17,112,7.821,0.7933
Germany,2026-07-19 20:07:17,101,12.021,0.5837
India,2026-07-19 20:07:17,96,16.409,0.9595
Indonesia,2026-07-19 20:07:17,108,14.53,0.9503
Japan,2026-07-19 20:07:17,103,11.821,0.6454
Mexico,2026-07-19 20:07:17,109,14.816,0.8625
Nigeria,2026-07-19 20:07:18,100,22.867,0.7297
Pakistan,2026-07-19 20:07:18,88,19.455,0.8694
Russia,2026-07-19 20:07:18,93,14.461,0.8235
South Africa,2026-07-19 20:07:18,110,15.322,0.8108
South Korea,2026-07-19 20:07:18,97,12.67,0.9212
Turkey,2026-07-19 20:07:18,97,10.957,0.9191
UK,2026-07-19 20:07:18,102,11.949,0.6192
USA,2026-07-19 20:07:19,110,10.147,0.8756
France,2026-07-19 20:09:45,117,9.733,0.776
